,Post,Trans,Label,Type,Type_Expanded
135,"Друзі! У столиці обстрілами пошкоджені понад 200 житлових будинків. Зазнали руйнувань також 46 шкіл, 30 дитячих садочків та понад 70 обʼєктів міської інфраструктури.

Ми закінчуємо їх обстежувати і розробляємо кошториси, щоб визначитися з обсягом робіт і вартістю відновлення пошкодженого житла та об‘єктів.

Ми все відбудуємо! Київ вистоїть, Україна переможе! 

Слава Україні! Слава її героям!","Friends! In the capital, over 200 residential buildings have been damaged by artillery fire. Forty-six schools, thirty kindergartens, and over 70 objects of municipal infrastructure have also suffered damage.

We are finishing our assessment and are developing estimates to determine the scope of work and the cost of restoring damaged housing and facilities.

We will rebuild it all! Kyiv will withstand it, Ukraine will triumph!

Glory to Ukraine! Glory to its heroes!",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
136,"[​​](https://telegra.ph/file/e4a615ec362deda07bb7c.jpg)⚡️**У Києві з територій житлових будинків, зруйнованих обстрілами, вивезли понад 1,5 тисячі кубометрів будівельних відходів**

✔️На території більшості будинків, які були зруйновані чи пошкоджені внаслідок ракетних ударів, вже вивезені будівельні уламки. Ще на 16 адресах роботи тривають.

🦺Працюють рятувальники міста, персонал комунальних керуючих компаній, «Київкомунсервісу», «Київблагоустрою», ШЕУ та інших підприємств. Активно допомагають впорядковувати двори і самі будинки мешканці.

🔸Відходи вивозять спеціальними контейнеровозами з краново-маніпуляторними установками та системами мультиліфт. На локації встановлюється великий контейнер 15-25 кубометрів, у який складують різні уламки.

✔️Наповнені контейнери вивозяться на спеціалізований полігон для будівельних відходів № 6.

🙏🏻Будь ласка, не публікуйте фото з адресами зруйнованих будинків, особливо тоді, коли на локаціях працюють люди. Це небезпечно.","[![Debris removal in Kyiv](https://telegra.ph/file/e4a615ec362deda07bb7c.jpg)](https://telegra.ph/file/e4a615ec362deda07bb7c.jpg)

⚡️More than 1,500 cubic meters of construction debris have been removed from residential buildings damaged by artillery strikes in Kyiv.

✔️Construction debris has already been cleared from the majority of buildings that were destroyed or damaged as a result of rocket attacks. Work is still ongoing at 16 addresses.

🦺City rescue workers, personnel from municipal management companies, ""Kyivkomunserwis,"" ""Kyivблагоустройство,"" ShEYu, and other enterprises are working on this. Residents are actively helping to clean up courtyards and the buildings themselves.

🔸Debris is being removed using special container trucks with crane manipulator systems and multi-lifts. Large containers of 15-25 cubic meters are installed at the site, into which various fragments are placed.

✔️Full containers are then taken to a specialized landfill for construction waste No. 6.

🙏🏻Please do not publish photos of the addresses of destroyed buildings,",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
137,"⚡️**Унаслідок ракетного обстрілу житлового будинка у Шевченківському районі постраждали 10 осіб, 4 людини госпіталізували

🚜**Зранку дорожники почали прибирання біля будинку.

**🙏🏻** Міська влада закликає киян бути обережними і не ігнорувати сигнали повітряної тривоги!

🚇Нагадуємо, що поїзди метро на час повітряної тривоги призупиняють рух наземною ділянкою на «червоній» лінії, а на «зеленій» – не курсують через Південний міст. Підземні станції метро продовжують цілодобово працювати як укриття.","⚡️**As a result of a rocket strike on a residential building in Shevchenkivskyi District, 10 people were affected, with 4 hospitalized.

🚜**Early in the morning, road workers began cleaning up near the building.

**🙏🏻** The city government urges citizens to be cautious and not ignore air raid sirens!

🚇Remember that during an air raid alert, metro trains on the ""red"" line will stop moving on the ground section, while those on the ""green"" line will not run through Southern City. Underground metro stations continue to operate continuously as shelters.",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
138,"**Київ: важливе на сьогодні** 🔵🟡

⚡️Увечері ворог обстріляв Київ. Два влучання в Шевченківському районі. Рятувальники і медики працюють на місці. Наразі госпіталізували трьох постраждалих.

❗️Не можна втрачати пильність та нехтувати власною безпекою. Тож, отримавши сигнал про повітряну тривогу, необхідно одразу йти в укриття. Мапа укриттів – за посиланням: https://cutt.ly/qFbz8O7

🚑Медична система Києва працює у посиленому режимі.

▫️Комендантська година у столиці продовжує діяти щоночі. Вона триває із 22:00 до 05:00.

🙏🏻Місто закликає мешканців допомагати один одному та дбати про безпеку тих, хто поруч!

**Деталі за посиланням: ****https://cutt.ly/FGWWH6h****

Kyiv: important news** 🔵🟡

⚡️In the evening, the enemy shelled Kyiv. Two missiles hit the Shevchenkivsky district. Rescuers and paramedics are working at the site, inspecting nearby buildings, and evacuating people. Three people have been hospitalized as of now.

❗️The city authorities remind Kyivans that they need to take care of their safety! Go to a shelter when you first hear an air raid siren. A map of shelters is available at this link: https://cutt.ly/qFbz8O7

🚑Kyiv's medical system is working in enhanced mode.

▫️Curfew is still imposed in Kyiv, in place every night from 22:00 to 5:00.

🙏🏻The city thanks residents for helping one another and taking care of the safety of everyone around them!

**More details:** https://cutt.ly/FGWWH6h","**Kyiv: Important News** 🔵🟡

⚡️In the evening, the enemy shelled Kyiv. Two missiles hit the Shevchenkivsky district. Rescuers and paramedics are working at the scene. Three people have been hospitalized so far.

❗️Do not lose vigilance and neglect your own safety. Therefore, upon hearing an air raid alert, immediately seek shelter. A map of shelters can be found here: https://cutt.ly/qFbz8O7

🚑Kyiv's medical system is operating in emergency mode.

▫️The curfew in the capital continues every night from 10 PM to 5 AM.

🙏🏻The city appeals to residents to help each other and ensure the safety of those around them!

**More details:** https://cutt.ly/FGWWH6h",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
139,"⚡️**У Києві обстежують житлові будинки, що зазнали найбільших руйнувань внаслідок ворожих ракетних ударів та обстрілів

**▪️Найбільш критичні пошкодження та руйнування конструктивних елементів зафіксовані у десяти житлових будинках.

▪️Загалом у столиці внаслідок обстрілів зазнали пошкоджень понад 200 будівель. Це житлові будинки, школи, дитсадки, приватні садиби. Фахівці умовно розподілили пошкоджені будівлі на групи залежно від типу і масштабів руйнувань.

✔️Наразі працюють відповідні міські комісії із залученням фахівців профільних інститутів. Лише після отримання їхніх висновків можна буде прийняти рішення про долю будівлі та поінформувати людей про можливість заселення, необхідність ремонту чи знесення.

🦺У близько ста будинках, що зазнали значно менших руйнувань, проведені першочергові роботи. Комунальні керуючі компанії вивезли уламки, закрили плівкою вибиті вікна та балкони, відновили шиферне покриття, демонтували небезпечні конструкції тощо. Необхідні ремонтні роботи будуть проведені згодом.","⚡️**In Kyiv, residential buildings that suffered the most damage from enemy rocket strikes and shelling are being inspected.

**▪️The most critical damages and destructions of structural elements have been recorded in ten residential buildings.

▪️Overall, more than 200 buildings in the city have been damaged as a result of the shelling, including residential buildings, schools, kindergartens, and private houses. Experts have categorically divided the damaged buildings into groups based on the type and scale of destruction.

✔️Currently, relevant city commissions are working with the involvement of experts from specialized institutions. Only after receiving their conclusions can decisions be made about the fate of the buildings and information be provided to people regarding the possibility of resettlement, necessary repairs, or demolition.

🦺In about one hundred buildings that suffered less severe damage, preliminary work has been carried out. Municipal management companies have removed debris, covered broken windows and balconies with tarpaulin, restored slate roofing, and dismantled dangerous structures, among other things. Necessary repair works will be conducted later.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
140,"⚡️**У Києві від початку повномасштабного російського вторгнення пошкоджено 208 житлових будинків, 46 шкіл, 29 садків та 1 дитячий будинок

**▪️Пошкоджень також зазнали 13 адміністративних будівель, 2 спортивні об’єкти, 5 об’єктів соціальної сфери, 17 – охорони здоров’я, 10 – культурної сфери, 48 об’єктів транспортної інфраструктури.

✔️Місто спільно з профільними фахівцями продовжує обліковувати пошкоджені об’єкти інфраструктури. Усі ці об’єкти будуть взяті на облік, фахівці визначать ступінь пошкоджень. Після цього розпочнеться їхнє поступове відновлення.","⚡️**In Kyiv, as of the start of the full-scale Russian invasion, 208 residential buildings, 46 schools, 29 kindergartens, and 1 children's home have been damaged.

**▪️Also damaged are 13 administrative buildings, 2 sports facilities, 5 social service facilities, 17 healthcare facilities, 10 cultural facilities, and 48 transport infrastructure objects.

✔️The city, together with specialized experts, continues to inventory damaged infrastructure objects. All of these objects will be registered, and specialists will determine the extent of the damage. Following this, their gradual restoration will begin.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
141,"⚡️**У Києві за 40 днів повномасштабного російського вторгнення загинули 89 мирних осіб, серед них 4 дитини, поранені – 398 осіб, серед них – 20 дітей

**✔️Місто веде перелік об’єктів, які постраждали через повітряні атаки.

**⚡️Від ворожих ударів окупанта з 24 лютого пошкоджені 167 житлових будинків різних типів, 44 школи, 26 дитячих садків та 1 дитячий будинок. Також пошкоджень зазнали 11 адміністративних будівель**. Масштаби пошкоджень різні: великі, середні та незначні.

⚡️Також від дій російського агресора постраждали: 2 спортивні об’єкти, 5 об’єктів соціальної сфери, 17 – охорони здоров’я, 10 – культурної сфери, 48 об’єктів транспортної інфраструктури.

🙏🏻Місто закликає киян не втрачати пильності та за перших сигналів повітряної тривоги слідувати в укриття. Сьогодні в Києві стало безпечніше, але все ще залишається загроза повітряних атак.  Тих, хто виїхав зі столиці, просять поки що утримуватися від повернення.","⚡️In Kyiv, during 40 days of full-scale Russian invasion, 89 civilians died, including 4 children, and 398 were injured, including 20 children.

✔️The city is compiling a list of objects damaged by air attacks.

⚡️As a result of enemy strikes from February 24, 167 residential buildings of various types, 44 schools, 26 kindergartens, and 1 children's home were damaged. Administrative buildings also suffered damage, with varying scales ranging from major to minor.

⚡️Also affected by the actions of the Russian aggressor were: 2 sports facilities, 5 social sphere facilities, 17 healthcare facilities, 10 cultural facilities, and 48 transport infrastructure facilities.

🙏🏻The city urges residents not to lose vigilance and to seek shelter immediately upon hearing air raid sirens. Today, Kyiv has become safer, but the threat of air attacks still remains. Those who have left the capital are advised to stay away for now.",,,"This post describes multiple human rights violations, including both deliberate harm to civilians and intentional destruction of civilian property or infrastructure. Civilians may be attacked directly, and their homes or essential facilities may be damaged or destroyed. The post reflects a combination of violence against people and violence against civilian structures."
142,"⚡️⚡️**У Києві від початку повномасштабного вторгнення ворога пошкоджено 154 житлові будинки, 20 приватних садиб, 27 садочків та 44 школи

**❗️У столиці працює група експертів, які проводять оцінку збитків завданих інфраструктурі міста, житловим будинкам та приватним садибам. До неї входять будівельники, представники інститутів та економісти.

✔️Саме вони нададуть місту пропозиції щодо плану робіт та орієнтовної вартості відновлення пошкоджень.","⚡️⚡️In Kyiv, as of the start of the full-scale invasion by the aggressor, 154 residential buildings, 20 private manors, 27 kindergartens, and 44 schools have been damaged.

❗️A group of experts is working in the capital to assess the damage inflicted on the city's infrastructure, residential buildings, and private manors. This group includes architects, representatives of institutions, and economists.

✔️It is precisely these experts who will provide the city with proposals regarding the work plan and an approximate cost of repairs.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
143,"Друзі! Дорогі кияни! Ворог продовжує обстрілювати столицю. Буквально нещодавно обстрілу зазнала парковка торгового центру в Подільському  районі. Одна людина загинула, двох постраждалих госпіталізували.","Friends! Dear Kyivans! The enemy continues to shell the capital. Just recently, a parking lot of a shopping center in the Podil district was hit by artillery fire. One person died, and two injured were hospitalized.",,,"This post describes multiple human rights violations, including both deliberate harm to civilians and intentional destruction of civilian property or infrastructure. Civilians may be attacked directly, and their homes or essential facilities may be damaged or destroyed. The post reflects a combination of violence against people and violence against civilian structures."
144,"**⚡️⚡️Ворог знову обстріляв Київ – пошкоджені будівлі у Святошинському та Шевченківському районах

**▪️Обстрілів зазнав торговий центр, будинки приватного сектору та багатоповерхівки. Пожежі ліквідовано, постраждалих не виявлено. Пошкоджено приміщення торгового центру та два приватних будинки.

▪️Крім того, зранку обстрілу зазнав Шевченківський район. На місці працюють рятувальники та медики. Наразі є загорання кількох приватних будинків та в багатоповерхівці. Четверо людей травмовані. Інформація про постраждалих та характер руйнувань – уточнюється.","**⚡️⚡️The enemy has again shelled Kyiv – buildings damaged in Svayatskyy and Shevchenkivskyi districts.

**▪️A shopping center, private residential buildings, and high-rises were hit by the shelling. Fires have been extinguished, and no casualties have been reported. Damage was done to the premises of the shopping center and two private buildings.

▪️Additionally, the Shevchenkivskyi district suffered from the shelling in the morning. Emergency services and medical personnel are on site. Currently, several private houses are on fire, and there are four injured people. Information about casualties and the extent of the damage is still being verified.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
145,"[​​](https://telegra.ph/file/4f11874942ee3258803ca.jpg)**У Києві понад 70 житлових будинків пошкоджені внаслідок обстрілів: комунальні служби отримують ремонтні матеріали для відновлення

**▪️Будівлі мають різні ступені пошкоджень: там, де руйнування критичні, мешканців відселили, де незначні – комунальні служби отримують ремонтні матеріали для оперативного відновлення: плівку для ремонту вікон, кріплення, матеріали для ремонту покрівлі тощо.

🔸Підприємства, що перевозять відходи, зокрема «Київкомунсервіс», мають відповідну техніку та регулярно вивозять габаритні уламки від вибухів.

✔️Служби оперативно відновлюють комунікації та послуги, щоб люди повертались у свої оселі в тих будинках, які придатні для проживання.

🔸Працівники житлово-комунальної сфери, крім тих, хто пішов до лав ЗСУ та територіальної оборони, працюють попри збільшення обсягу робіт і труднощі.","In Kyiv, over 70 residential buildings have been damaged as a result of bombardments: communal services are receiving repair materials for restoration.

▶️ The buildings have varying degrees of damage: where the destruction is critical, residents have been evacuated; where it's minor, communal services are obtaining repair materials for quick restoration: roofing materials for window repairs, fastening materials, and roof repair materials, etc.

🔹 Waste disposal companies, such as ""Kyivkomunservis,"" have the necessary equipment and regularly remove large debris from explosions.

✔️ Services are rapidly restoring communications and services so that people can return to their homes in those buildings that are habitable.

🔹 Workers in the housing and communal sector, apart from those who have joined the ZSU (Ukrainian National Guard) and territorial defense, are working despite an increased workload and difficulties.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
146,"Друзі! Дорогі кияни!
 
Ворог продовжує атакувати столицю. Вночі рятувальники довго тушили пожежу в Подільському районі. Де в результаті обстрілів згорів торговий центр, пошкоджені 6 житлових будинків. Три з них — непридатні для життя.

8 людей загинули.

Пошкоджені також приміщення двох шкіл та двох дитячих садочків.
 
Через пожежі після авіаударів в столиці та в області спостерігається забрудненість повітря. Тому не відкривайте вікна. А коли виходите на вулицю – захистіть легені одягнувши навіть медичний респіратор типу FFP2.
 
Я звертаюся до киян – не знімайте та не викладайте відео пересування військової техніки, блокпостів, охорони стратегічних об'єктів. Не допомагайте ворогу!","Friends! Dear Kyiv residents!

The enemy continues to attack the capital. Last night, firefighters fought a fire in the Podil district for a long time. As a result of the shelling, a shopping center was destroyed, and six residential buildings were damaged. Three of them are unfit for habitation.

Eight people died.

Schools and two kindergartens also suffered damage.

Due to the fires after aerial strikes in the capital and the region, air pollution is observed. Therefore, do not open windows. When you go outside, protect your lungs by wearing even a medical FFP2 respirator.

I address all Kyiv residents: do not remove or post videos of military equipment movements, blockades, or the protection of strategic objects. Do not help the enemy!",,,"This post describes multiple human rights violations, including both deliberate harm to civilians and intentional destruction of civilian property or infrastructure. Civilians may be attacked directly, and their homes or essential facilities may be damaged or destroyed. The post reflects a combination of violence against people and violence against civilian structures."
147,"Друзі! Дорогі кияни! Ворог продовжує обстрілювати столицю. В Святошинському районі снаряд потрапив у двір поруч з десятиповерховим житловим  будинком. Будинок пошкоджений, згоріли автівки в дворі.

На даний момент - загиблих немає. 5 людей постраждали. Двох із них госпіталізували. На місці працюють медики і рятувальники.","Friends! Dear Kyivans! The enemy continues to shell the capital. In the Shevchenko district, a shell hit a courtyard near a ten-story apartment building. The building is damaged, and cars in the courtyard were burned.

So far, there are no casualties. Five people were injured, two of whom were hospitalized. Medical personnel and emergency workers are at the scene.",,,"This post describes multiple human rights violations, including both deliberate harm to civilians and intentional destruction of civilian property or infrastructure. Civilians may be attacked directly, and their homes or essential facilities may be damaged or destroyed. The post reflects a combination of violence against people and violence against civilian structures."
148,"⚡️⚡️**У Києві від початку повномасштабного вторгнення російських військ**[ загинули 228 людей, у тому числі 4 дитини.](https://t.me/VA_Kyiv/95)** **Отримали поранення 912 осіб, у тому числі 16 дітей.","⚡️⚡️**In Kyiv, from the start of the full-scale Russian military invasion, 228 people died, including 4 children.** 912 people were injured, including 16 children.",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
149,"⚡️⚡️**У Києві від початку повномасштабного вторгнення російських військ загинули 222 людини, із них 60 цивільних. Загинули, у тому числі, 4 дитини.

**⚡️⚡️За весь цей час у місті 889 поранених, із них 241 цивільний. У тому числі: 18 дітей, 3 водії швидкої, 1 лікар швидкої.","⚡️⚡️In Kyiv, since the start of the full-scale Russian military invasion, 222 people have died, including 60 civilians. Among the dead are also 4 children.

⚡️⚡️During this time, 889 people have been injured in the city, including 241 civilians. This includes: 18 children, 3 drivers of ambulances, and 1 medical worker from an ambulance.",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
150,"⚡️⚡️**Київ: від початку повномасштабної агресії РФ ворог пошкодив 36 житлових будинків, 5 приватних садиб, 6 шкіл та 4 садочки. Пошкоджено фасади, балкони та вікна в 55 будинках.**","⚡️⚡️Kiev: As of the start of Russia's full-scale aggression, the enemy damaged 36 residential buildings, 5 private estates, 6 schools, and 4 kindergartens. Facades, balconies, and windows were damaged in 55 buildings.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
151,"Друзі! Дорогі кияни! 
Ворог продовжує атакувати столицю. Зранку житловий квартал в Подільському районі обстріляний орками.

Одна людина загинула, 19 постраждали, із них четверо дітей.
Пошкоджені 6 житлових будинків, дитсадок та школа.

На місці працюють рятувальники та медики.","Friends! Dear Kyivans!

The enemy continues to attack the capital. This morning, a residential area in the Podil district was shelled by artillery.

One person died, 19 were injured, including four children.
Six residential buildings, kindergartens, and a school were damaged.

First responders and medical personnel are working at the scene.",,,"This post describes multiple human rights violations, including both deliberate harm to civilians and intentional destruction of civilian property or infrastructure. Civilians may be attacked directly, and their homes or essential facilities may be damaged or destroyed. The post reflects a combination of violence against people and violence against civilian structures."
152,"⚡️**Київ зазнав чергового удару від ворога. Обстріляно житловий квартал у Подільському районі**

На місці вже працюють рятувальники та медики. Характер, кількість пошкоджень житлових будинків та кількість постраждалих уточнюється.","⚡️Kiev suffered another attack from the enemy. Residential areas in the Podil district were shelled.

First responders and medical personnel are already at the scene. The extent of damage to residential buildings and the number of affected individuals are still being confirmed.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
153,"⚡️⚡️**У Києві знову неспокійна ніч: ворог пошкодив дві житлові багатоповерхівки у Дарницькому районі

**▪️Ніч проти 17 березня у Києві пройшла неспокійно. Внаслідок ракетного удару у місті постраждали два багатоповерхові житлові будинки у Дарницькому районі.

▪️За попередніми даними, одна людина загинула, четверо постраждали (двоє з них госпіталізовані). На місці продовжують роботу рятувальники та медики.

▫️▫️▫️

⚡️⚡️ **A stressful night in Kyiv:** **two multi-story residential buildings in the Darnytsky district were shelled by Russian occupying forces.

**▪️Kyiv had quite a stressful night on March 17. Two multi-story residential buildings were damaged in the Darnytsky district due to shelling.

▪️According to previous reports, 1 person died, 4 persons were injured, and 2 of them were hospitalized. Rescuers and medics continue their work on the site.","⚡️⚡️ **Stressful night in Kyiv:** **Russian occupying forces shelled two multi-story residential buildings in the Darnytsky district.**

**▪️On March 17, Kyiv experienced a stressful night as Russian occupying forces shelled two multi-story residential buildings in the Darnytsky district.**

**▪️Reports indicate that one person died, four were injured, with two requiring hospitalization. Rescue workers and medical personnel are still at the scene.**",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
154,"[​​](https://telegra.ph/file/419eb4db9e16a5f8858ca.jpg)Друзі! Дорогі кияни!
Увечері ворог знову обстрілював Київ. Снаряди потрапили в кілька приватних будинків у Подільському районі. На місці працюють рятувальники та медики. Загоряння локалізоване, але роботи з ліквідації наслідків пожежі тривають. На даний момент постраждалих не виявили. 
Пошкоджений також газопровід низького тиску. Аварію ліквідовують фахівці газової служби.","Friends! Dear Kyiv residents!

Last evening, the enemy again shelled Kyiv. Explosives hit several private buildings in the Podil district. Emergency responders and medical personnel are working at the scene. The fire is contained, but efforts to extinguish the fire's aftermath continue. So far, no casualties have been reported.

A low-pressure gas pipeline was also damaged. The emergency is being handled by gas service specialists.",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
155,"Друзі! Дорогі кияни!
 
Київ продовжує оборонятися і зазнавати атак ворога.
 
Вранці, як ви знаєте, ракета потрапила в багатоповерховий будинок у Шевченківському районі.
 
Рятувальники вже розібрали завали на пошкоджених верхніх поверхах будинку.
Загиблих, слава Богу, немає. Двох постраждалих госпіталізували. 37 мешканців евакуювали.
 
Ще раз закликаю киян не нехтувати сигналами тривоги. І перебувати при оголошенні тривоги в безпечних місцях – в укриттях.
 
Нагадаю, комендантська година в столиці триває від учора і завершиться завтра, о 7 годині ранку. І завтра відкриються магазини, аптеки, заправки, підприємства. Працюватиме в обмеженому режимі громадський транспорт.
 
Працюють системи життєзабезпечення міста, підприємства критичної інфраструктури, комунальні служби столиці.
 
Продовжує працювати Гуманітарний штаб столиці. Допомога Києву надходить. Місто накопичує резерви харчів, ліків і товарів першої необхідності.

Разом вистоїмо! Слава Україні!","Friends! Dear Kyiv residents!

Kyiv continues to defend itself and is suffering attacks from the enemy.

This morning, as you know, a rocket hit a multi-story building in Shevchenkivskyi District.

Rescue workers have already cleared the debris from the damaged upper floors of the building. Fortunately, there were no casualties. Two injured people have been hospitalized, and 37 residents have been evacuated.

I once again urge Kyiv residents not to panic at the sound of air raid sirens. And during an air raid alert, stay in safe places—shelters.

I remind you that the city's curfew has been in effect since yesterday and will end tomorrow at 7 AM. Tomorrow, stores, pharmacies, gas stations, and businesses will open. Public transportation will operate on a limited schedule.

The city's life support systems, critical infrastructure enterprises, and municipal services of Kyiv are functioning.

The City's Humanitarian Staff continues to work. Aid for Kyiv is arriving. The city is stockpiling food, medicine, and essential goods.

Together we will endure! Glory to Ukraine!",,,"This post describes multiple human rights violations, including both deliberate harm to civilians and intentional destruction of civilian property or infrastructure. Civilians may be attacked directly, and their homes or essential facilities may be damaged or destroyed. The post reflects a combination of violence against people and violence against civilian structures."
156,"**⚡️⚡️Ворог продовжує обстріли Києва – пошкоджено будинок у Шевченківському районі

** ▪️У результаті нападу пошкоджено один багатоповерховий будинок у Шевченківському районі.

🚒 На місці працюють рятувальники, медики та інші служби. За попередніми даними 35 людей евакуйовано з будинку, одна людина звернулася за допомогою до медиків.","**⚡️⚡️The enemy continues to shell Kyiv – a building in Shevchenkivskyi District was damaged.

** ▪️As a result of the attack, one multi-story building in Shevchenkivskyi District was damaged.

🚒 Emergency services, including firefighters and medical personnel, are working at the scene. According to preliminary information, 35 people were evacuated from the building, and one person sought medical assistance.",,,"This post describes multiple human rights violations, including both deliberate harm to civilians and intentional destruction of civilian property or infrastructure. Civilians may be attacked directly, and their homes or essential facilities may be damaged or destroyed. The post reflects a combination of violence against people and violence against civilian structures."
157,"Друзі! Дорогі кияни!
Ворог продовжує атакувати Київ.

Рано вранці снаряди влучили в кілька житлових будинків — 2 багатоповерхівки в Святошинському районі, 1 в Подільському. А також — в один приватний будинок.

Пошкоджено ударною хвилею вхід в одну зі станцій метро.

В житлових будинках є постраждалі, інформація уточнюється. На місцях працюють рятувальники і медики.

Слідуйте в укриттях за кожного сигналу тривоги!","Friends! Dear Kyiv residents!
The enemy continues to attack Kyiv.

Early in the morning, artillery shells hit several residential buildings—two five-story apartment blocks in the Svayatsiynskyi district, one in Podilskyi, and also one private house.

A blast wave damaged the entrance to one of the metro stations.

Residents in the residential buildings are affected; details are being confirmed. Emergency services and medical personnel are working at the scenes.

Seek shelter during every air raid alert!",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
158,"⚡️⚡️**Київ під ранок знову опинився під обстрілами: пошкоджені три багатоповерхівки, будинок у приватному секторі та станція метро ""Лук'янівська""

**▪️Ніч проти 15 березня у Києві пройшла не спокійно. Місто під ранок знову опинилося під обстрілами.

▪️Пошкоджені два житлові будинки 9 та 16 поверхів у Святошинському районі, 10-поверховий житловий будинок у Подільському районі, будинок у приватному секторі Дарницького району.

🚇Пошкоджено наземну частину станції метро ""Лук’янівська"". Лінія метрополітену працює.

🚒На місцях вибухів працюють пожежники, медики та інші служби. За попередньою інформацією, загиблих немає. Інформація про потерпілих буде пізніше. Проводиться евакуація.","⚡️⚡️**Kyiv woke up to renewed shelling: three multi-story buildings damaged, a private sector building, and the ""Lukyanivska"" metro station.

**▪️On the night of March 15, Kyiv did not have a peaceful night. The city was again under shelling in the morning.

▪️Two residential buildings of 9 and 16 floors in the Svayatoshynskyi district, a 10-story residential building in the Podilskyi district, and a private sector building in the Darnytsia district were damaged.

🚇The ground part of the ""Lukyanivska"" metro station was damaged. The metro line is operational.

🚒Firefighters, medical personnel, and other services are working at the explosion sites. According to preliminary information, there are no casualties. Information about the injured will be provided later. Evacuation is underway.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
