Sr. no.,Channel ID,Post ID,Post,HRV,HRV_Type
126,1498939244,30918,"**🇷🇺🇺🇦💡 Что нужно сделать, чтобы нанести энергетической инфраструктуре непоправимый урон — разбор Рыбаря, список целей №1

**[**📌Разбор: для чего нужно бить именно по этим целям
**](https://t.me/rybar/40122)[**📌Вторая часть целей

**](https://t.me/rybar/40124)▪️**ПС Киевская 750 кВ** — **стратегический** элемент передачи мощности между западом и востоком страны, северный энергетический коридор с питанием Киевского энергоузла и связью с югом страны. Через нее перебрасывается мощность с **Ровенской**, **Хмельницкой** и **Южноукраинской** **АЭС** в **северные** и **центральные** районы Украины.

**Цель **— автотрансформаторы 750/330 кВ по фазе B:
➖АТ1 (750/330кВ) `50°29'35.8""N 29°41'28.6""E` 
➖АТ2 (750/330кВ) `50°29'34.8""N 29°41'42.3""E

`**▪️ПС Винница 750 кВ** — **стратегический** элемент передачи мощности между **западом** и **востоком** страны, **южный** энергетический коридор со связью с **Южноукраинской** **АЭС** и линией связи на **Киев**.

**Цель **— автотрансформатор 750/330 кВ по фазе B:
➖АТ (750/330кВ) `49°09'52.2""N 28°43'19.4""E
`  
▪️**ПС Заподноукраинская-750** — через нее распределяется электроэнергия от **Ровенской**, **Хмельницкой** и **Южноукраинской** **АЭС** по **западу** Украины и в **Венгрию**. Также на ней замыкается кольцо **северного** и **южного** энергокоридора. Автотрансформаторы мощностью 1000МВА.

**Цель **—автотрансформаторы 750/330 кВ по фазе В:
➖АТ1 (750/330кВ) `49°23'09.4""N 24°14'51.5""E
`➖АТ2 (750/330кВ) `49°23'09.2""N 24°14'57.2""E
`➖АТ3 (750/330кВ) `49°23'09.0""N 24°15'06.3""E

`▪️**ПС Днепровская-750 кВ** — через нее по южному энергетическому коридору передается мощность от **Южноукраинской** **АЭС** к **Днепропетровску**.

**Цель **— автотрансформаторы 750/330 кВ по фазе В:
➖АТ1 (750/330кВ) `48°26'05.0""N 34°02'10.8""E
`➖АТ2 (750/330кВ) `48°26'09.8""N 34°02'09.5""E

`▪️**ПС Конотоп 330/110 кВ** — приведет к потере возможности питать потребителей **Сумской** области от АЭС **запада** страны и ГЭС **центра**.

**Цель **— автотрансформаторы 330/110 кВ: 
➖АТ1 `51.191961, 33.165831
`➖АТ2 `51.192248, 33.166666

`▪️**Киевская ТЭЦ-6** — приведет к потере генерирующей мощности, питающей северо-восток **Киевской** и **Черниговскую** области.

**Возможные цели на территории ТЭЦ:
**➖Цех химводоочистки` 50.531327, 30.659951
`➖Здание турбинного отделения над генераторами `50.532837, 30.662402
`➖АТ1 `50.533115, 30.662063
`➖АТ2 `50.533108, 30.662736

`▪️**ПС Северная 330 кВ** — элемент передачи мощности в направлении **Запад** (от **Ровенской** и   **Хмельницкой** АЭС) — Восток с отбором мощности на **Киев**.
  
**Цель —** автотрансфоматоры 330/110 кВ:
➖АТ1  `50.613929, 30.381585
`➖АТ2  `50.613820, 30.382241
`➖АТ3  `50.613684, 30.383217

`▪️**ПС Бровары 330/110 кВ** — подстанция распределения электроэнергии на левобережную часть **Киева**, восток **Киевской области **и **Черниговскую область**.
  
**Возможные цели:
**➖Здание управления подстанцией `50.537945, 30.899362
`➖АТ1  `50.538313, 30.898871
`➖АТ2  `50.538342, 30.899876

`▪️**ПС Новокиевская 330/110 кВ** —  новая узловая подстанция распределения энергии от **Трипольской** **ТЭС** на правобережную часть **Киева**.

**Цель **— автотрансфоматоры 330/110 кВ:
➖АТ1  `50.329173, 30.436149
`➖АТ2  `50.328723, 30.437227

`▪️**Трипольская ТЭС** — **основная** электростанция **центральной** Украины и **Киевской** области с городом **Киев**.

**Возможные цели на территории ТЭС:
**➖Здание турбинного отделения `50.134797, 30.745385
`➖Т1  `50.134902, 30.744487
`➖Т2  `50.135006, 30.745171
`➖Т3  `50.135112, 30.745826
`➖Т4  `50.135258, 30.746636
`➖Т5  `50.135349, 30.747271
`➖Т6  `50.135498, 30.748106

`[**Карта в высоком разрешении

**](https://rybar.ru/piwigo/upload/2022/10/12/20221012083421-45d2ff9d.jpg)[English version

](https://rybar.ru/piwigo/upload/2022/10/12/20221012083424-3ddedd3d.jpg)#разбор  #Россия #Украина #электричество #цели
@rybar

*Поддержать нас: 4377 7278 0407 7977 | 0x4739352b67Da6F4064757627D92A08EaDd3fb6b6 (ETH) | 33i1BwMuzeYTAUNtiLa6CjvaHtTVYNJfnp (BTC)",Yes,B
127,1129015804,13130,"В северной Сирии арабо-курдские силы предотвратили побег семнадцати женщин и тридцати девяти детей из лагеря для родственников боевиков Исламского государства в провинции Эль-Хасака. Согласно заявлению ""Сирийских демократических сил"", контрабандист вывез заключенных из ""Аль-Хуль"" на грузовике с дровами, в котором были скрытые ниши. Силовики проследили за машиной до пункта назначения, а затем задержали родственников джихадистов и организаторов побега.",No,
128,1469021333,9268,**❗️Усі гравці збірної Польщі заявили про відмову від матчу з Московією**,No,
129,1093357968,9759,"В ДНР, ссылаясь на данные разведки, заявили, что киевский режим готовит очередную кровавую провокацию, аналогичную произошедшей в Краматорске, с последующей целью обвинить военнослужащих РФ в массовом уничтожении мирных жителей. 

[…] «__С этой целью в ближайшее время дивизионом 19-й отдельной ракетной бригады ВСУ будет нанесен удар комплексом «Точка-У» по скоплению беженцев на железнодорожном вокзале в населенном пункте Лозовая. 
Для имитации удара со стороны территории, подконтрольной силам РФ и ДНР, враг планирует запустить ракету из района поселка Старомихайловка, который находится на западной окраине Донецка».__

@epoddubny",Yes,D
130,1247556894,3160,"🚌**У столиці з 08:00 до 19:00 курсують близько 150 автобусів та понад 30 трамваїв

**✔️Актуальний перелік маршрутів наземного транспорту [можна знайти тут.](https://t.me/KyivCityOfficial/3147) У графік можуть бути внесені оперативні зміни.

🚃Орієнтовний інтервал руху автобусів – 30 хвилин, трамваїв – 15-20 хвилин, . На лінії швидкісного трамваю № 3 – 25 хвилин.",No,
131,1457892982,23787,"**⚡️Неожиданно. Борис Джонсон прибыл в Киев поздравить Украину с Днем независимости

**Британский премьер приехал не с пустыми руками и объявил о предоставлении Украине нового крупного пакета военной помощи на **$63,7 млн**, в который войдут **850 микродронов.

**Зная об опасности, он приехал не боясь русни, именно на праздник. Красавчик.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
132,1129015804,12143,"В Сомали при проведении КТО в провинции Мудуг силовики ликвидировали семь боевиков связанной с ""Аль-Каидой"" группировки ""Аш-Шабаб"". Еще двоих террористов удалось задержать. На месте боестолкновения военные изъяли вооружение, средства связи и несколько придорожных СВУ. По информации минобороны Сомали, джихадисты готовили серию терактов против военнослужащих и мирных жителей.",No,
133,1129015804,14579,"В Пакистане при нападении боевиков в провинции Хайбер-Пахтунхва погибли трое военнослужащих, еще одиннадцать человек получили ранения. Инцидент произошел в округе Куррам, где нападавшие открыли огонь по погранпункту. При перестрелке военным удалось ликвидировать двух боевиков. По предварительным данным, террористы пришли с территории Афганистана. Ответственность за нападение пока никто не взял.

Ранее трансграничные теракты против ВС Пакистана [совершали](https://t.me/directorate4/11861) боевики группировки ""Техрик-е Талибан Пакистан"".",Yes,A
134,1109403194,34154,"**Почему украинские войска бежали из подготовленного к обороне Лисичанска и главное – куда

**Украинскую армию готовили к тому, что ее будут **атаковать в лоб**, убедился военкор ""КП"" [Александр Коц](https://t.me/sashakots). Это отлично видно по тем фортификациям, которые были возведены вокруг города. Целая сеть окопов, которые переходят в бетонные укрытия, встречает прямо на въезде в Лисичанск. Он стоит на возвышенности, а это еще одно преимущество обороняющихся. Минные заграждения продолжают находить до сих пор, противопехотными ""лепестками"" засыпаны целые улицы. А в промзонах – бункеры, немногим уступающие подземельям ""Азовстали"". Союзные силы смогли совершить такой бросок, какого **Киев от них явно не ожидал**.

💬 __Когда мы заходили, здесь их уже не было. Они отходили в город, перегруппировывались и колоннами пытались выйти. Не всем это удалось,__ – командир батальона 4 отдельной мотострелковой бригады ЛНР ""Леший"" пояснил, что **опыт Северодонецка и Мариуполя** научил многому. ВСУ отошли в район Северска, там они закрепляются, город окопан неплохо, но это не остановит.

[Подробнее

](https://www.kp.ru/daily/27414/4612796/?from=tg)[Подписаться на @truekpru](https://t.me/+p3pOHrMFlcI0NWRi)",Yes,C
135,1457892982,24648,"**""Сидим в Балаклее, ждём маршрутку на Белгород"" и злорадствующий смех😂

**Наши бойцы — лучшие💪🏻

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
136,1498939244,36754,Также Киев/ область. Есть второй зафиксированный прилёт,No,
137,1457892982,30536,"**Российские вояки выпустили по Украине «всё, что у них было», кроме иранских дронов-камикадзе. Даже впервые запускали Ту-95 из Энгельса. Раньше такого не было, — спикер Воздушных сил ВСУ Юрий Игнат
** 
[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
138,1457892982,29359,"**⚡️Помощи Украине будет больше. Администрация Байдена добивается от Конгресса выделения дополнительного финансирования для Украины,** — СМИ со ссылкой на Белый дом

Русня, лицо?😏

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",Yes,B
139,1511148555,9329,"Пидарас Зеленский на заседании Совбеза ООН заявил, что если Россия признает результаты референдумов, то ему с Путиным больше не о чем разговаривать 

«Признание Россией этих псевдо референдумов как нормальных, осуществление сейчас так называемого «крымского сценария», ещё одна попытка аннексировать украинскую территорию будет означать, что нам не о чем говорить с президентом России. Аннексия это тот шаг, который ставит его один на один  против всего человечества. И сигнал требуется от каждой страны в мире. Я верю в вашу способность действовать»

💤По тебе ублюдок уже давно вопрос закрыт!",Yes,C
140,1457892982,27641,"**У России нет шансов победить на поле боя и она пытается терроризировать мирное население Украины — Президент Зеленский

**Он уточнил, что за последние 12 часов наши ПВО сбили в небе над Украиной 37 иранских дронов и несколько крылатых ракет. 

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",Yes,C
141,1457892982,28558,"**Чмобик из Псковской области поставил новый рекорд по попаданию в плен. Российские вояки, берите пример😏

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",Yes,D
142,1080134301,16454,В интернет снова слили чистый голосочек поющей Ольги Бузовой,No,
143,1247556894,2421,"🙏🏻**Київ та медики столиці дякують ФК «Динамо» за благодійну допомогу медзакладам, які цілодобово допомагають пораненим під час воєнних дій

**✔️Уже завтра гроші будуть працювати на порятунок життя та збереження здоров’я людей. Кошти перераховують безпосередньо на рахунки медзакладів і витрачатимуть на медикаменти та необхідні матеріали.

🧑🏼‍⚕️Сьогодні київські лікарі працюють у надскладних умовах і  підтримка для них – безцінна.


🤍💙 **Разом переможемо!**",Yes,A
144,1109403194,36995,"300 тысяч мобилизованных. У нас - 318 тысяч. Почему 318? Потому что добровольцы. Количество добровольцев - оно не сокращается. Из них сорок девять тысяч, по-моему, находятся уже в войсках, выполняют боевые задачи. Все остальные пока занимаются подготовкой — Путин

@sashakots",No,
145,1366346975,52568,"Z-каналы внезапно, спустя пол года войны, озаботились кадровой политикой на территориях Херсонской, Запорожской и Харьковской областей. [Выясняется, что там затесались агенты СБУ и вымогают деньги с фермеров.](https://t.me/voenacher/27495) Там агенты СБУ не затесались, а полностью заполнили профильные структуры, созданные на территориях. И не только бывшие сотрудники СБУ, но и бывшие менты, бывшие бандосы, аферисты, рекетиры, насильники, педофилы. И знаете ли ""вымогали с фермеров деньги"" это ещё по-человечески, могли б и совсем попасть. Таких персонажей там полно. Стремоусов, кстати, которого на Совбезе обсуждали, насколько я понимаю, как раз ни в чем подобном не заляпался. Таких держат при местных администрациях для публичности, чтоб за их спиной рвать до чего можно дотянуться. Кадровую политику необходимо проинспектировать? Конечно нужно! А ещё лучше было бы с самого начала не привлекать во власть криминалов, рейдеров и двойных агентов. Если хотелось эти территории интегрировать в РФ",No,
146,1093357968,8469,"❗️Сотрудники Службы безопасности Украины вместе с офицерами Национальной разведывательной организации Турции посетили север Сирии, сообщил военно-дипломатический источник РИА Новости. 

Сотрудники СБУ обсудили в Сирии возможность привлечения боевиков к событиям на Украине.
#Украина

@new_militarycolumnist",No,
147,1511148555,13054,ЗаПТУРили каких то хихлов,No,
148,1498939244,34309,💥Нанесены удары по объекту в Запорожье. В части города нет света,No,
149,1144404150,19816,"Разбитая украинская колонна в составе танка Т-64ВБ, БМП-1, грузовика ЗИЛ-131 и трофейного БТР-82А.

@milinfolive",No,
150,1366346975,52992,"**Вот это видео полиция кипрского города Ларнака убедительно просит не распространять из уважения к культурным особенностям украинского народа.**

А особенности у него, значит, такие: пьяная невдекватная бабища с ножом и нечеловеческими орами влетает в толпу людей, мирно праздновавших вчера День Государственного Флага Российской Федерации на острове в своей обособленной компании. 

Бешеное животное, к счастью, почти мгновенно задержали местные правоохранители, им оказалась уже два десятка лет чисто по-украински патриотично проживающая на Кипре киевлянка, на которую, по-видимому, российский триколор подействовал как распятие на беса.

Сообщается, что представители Россотрудничества, чьи коллеги принимали участие в акции, уже обратились в Следственный комитет РФ с просьбой о возбуждении по данному факту уголовного дела.

@opersvodki",No,
151,1093357968,8466,"«__В первые пять дней российские силы, честно говоря, были слишком деликатными. Сейчас они исправились, так что, я считаю, в течение десяти дней на __Украине __все будет закончено».__

Так считает полковник армии США в отставке Дуглас Макгрегор. 

Макгрегор говорит, что «Зеленскому нужно принять реальность и смириться с нею». 

А реальность такова, что ни армия, ни нацбаты, ни региональные власти ему уже не подчиняются. В городах хаос, паника, голод и смерть. И сколько бы Зеля ни записывал свои видеообращения, никакого духоподъемного эффекта они не возымеют. 

От его непринятия действительности на Украине сейчас страдает (это мягко сказано) миллионы людей. От рук боевиков гибнут сотни. В заложниках людей держат целыми городами! 

Встречала мнения, что лучший вариант для Зеленского на сегодня - застрелиться. Нет, такого произойти не должно. Толку?
Зеленского, как и его предшественника, нужно судить. 
Возможно, мое мнение непопулярно и, в какой-то степени, наивно, но такая «показательная порка» должна быть.

Сейчас, [когда наши парни](https://t.me/epoddubny/8458), и военные, и спецкоры, работают - одни физически зачищая Украину от нацисткой грязи, другие - освещая ход их работы, у нас, кому не стыдно быть русскими, есть только одно пожелание - работайте! Не останавливайтесь! За вами народ России!",Yes,A
152,1457892982,28540,"**Стремоусов передумал и удалил старое видео: круглосуточный комендантский час в Херсоне отменяется🤡

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
153,1080134301,14276,"«Новый» Макдональдс будет называться **«Вкусно и точка»** – теперь официально.

Открытие назначили сегодня на** 12:00,** возле забегаловок уже собрались очереди.",No,
154,1283359437,41832,"Шебекино в Белгородской области под сильным обстрелом ВСУ. Били по торговому центру. Тяжело ранены двое жителей.

@voenkorKotenok",Yes,A
155,1457892982,31048,"**Планы оккупантов разрушились: Новый год Украина вероятнее всего будет праздновать со светом 

**Так, гендиректор компании Yasno заявил, что **в Киеве текущий уровень доступности электроэнергии достаточно высок** и есть вероятность, что** ""скоро вернёмся к дообстрельному уровню"".

**Для нового удара россиянам понадобится время (обычно это больше недели), поэтому, **скорее всего 2023 мы встретим со светом.

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",Yes,B
156,1511148555,8582,"**🔥****Приезжайте, хохлы, к нам! Ваши бэхи хорошо горят!

Кадры последствий нескольких атак украинской бронегруппы под Харьковом. Укропидоров вовремя обнаружили наши дроны, ну а дальше - дело ПТУРщиков****🤣**",Yes,B
157,1283359437,39226,"Министр обороны киевского режима Алексей Резников рапортует о прибытии из Великобритании новой партии РСЗО M270 MLRS. Также выражает надежду, что скоро будут новые ""подарки"".

@voenkorKotenok",No,
158,1080134301,20183,"Некоглая наконец-то депортировали в Молдову и он сразу же записал видео, подобное тому, из-за которого все началось.

Хотя на втором видео, которое записывал неделю назад, он слезно уверял, что все осознал, кается и просит простить его, если это только возможно. **Вот так, как только почувствовал свободу сразу переобулся...**",No,
159,1498939244,34247,За прошедшие сутки на территории ДНР от украинских обстрелов погиб 1 мирный житель и еще 4 получили ранения — Штаб Теробороны ДНР,Yes,A
160,1283359437,44091,"Село Вязовое Краснояружского района Белгородской области обстреляно с территории Украины.

Поврежден ряд домов. Информация о пострадавших уточняется.

@voenkorKotenok",Yes,B
161,1093357968,8527,"Ростовская область готова к приему беженцев с Украины, которые прибудут по гумкоридору — местные власти

Из Мариуполя открыт зеленый коридор по кратчайшей дороге на территорию РФ

@epoddubny",No,
162,1109403194,35065,"❗️**Массовые проверки в Харькове. Ищут корректировщиков и просто сочувствующих России
** 
Ранее** “Иди и смотри”** [сообщал ](https://t.me/smotri_z/4348)об отправке группы оперативников в Харьков для масштабной проверки граждан. К сожалению, наша информация полностью подтвердилась.
 
__“С самого утра в городе массовые проверки. Особенно в местах массового скопления людей: на остановках, в магазинах и метро”__, — рассказал источник канал.
 
По его словам, традиционно проверяют телефоны в поисках переписок и подписок на российские СМИ и Telegram-каналы. Также украинские силовики останавливают и личный транспорт. 
 
Очевидно, что поймать настоящих корректировщиков такими примитивными методами почти невозможно. Однако это неплохой предлог для подавления любого инакомыслия, чем украинская власть и занимается с момента своего образования.

**__@smotri_z__**",Yes,D
163,1457892982,25057,"**⚡️Варваровка Харьковской области — Украины. А это н.п. у самой границы с РФ

**Российск вояк там больше нет.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
164,1080134301,18891,"""**Пизда нам... пизда**""

Кадры стрелкового боя глазами ВСУ",No,
165,1457892982,28943,"**Ого, маєш класний кавун😂

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
166,1469021333,13991,"[**🔄**](https://deepstatemap.live/)**Ситуація на фронтах станом на 6** **вересня

**🔘На **Харківщині** москалі намагаються знайти слабкі місця біля **Уд та Світличного**. Ворог заявив що дістався Шестакове, проте в нас нема причин вважати це правдою. На захід від **Балаклії** розпочалися активні бойові дії, про це вже повідомили всі, хто тільки може. Операція триває, рекомендуємо не поширювати відео з того напрямку, поки не буде офіційного повідомлення. На одному з найбільших пропагандистських ресурсів москалі підтвердили втрату села **Яковенкове**.

▪️Також, згідно наших даних в **Довгенькому** перебувають значні сили ворога, які сковують наші сили на цілому фасі фронту. 

🔘**Бахмутський **відтинок - Озерне: зараз в селі нікого немає. З приводу **Старого Каравану** аналогічна ситуація була майже місяць тому. Тому кадри, які поширюються і вже геолоковані або не свіжі або це нова невідома нам спроба закріпитися там. Враховуючи, що відео опубліковані то схиляємося до першого варіанту.

▪️Біля **Соледару** ситуація складна. ""Пастухи"", саме так називають зеки своїх командирів, пускають їх же на штурм наших позицій. Зеки ведуть штурм в стилі Дункана Маклауда, тому їхніми трупами всіяно аж до наших окопів.

▪️Уточнення біля **Майорська**, воно не було зайнято кацапами. 

🔘**Авдіївський** відтинок - ворог шукає слабкі місця біля **Авдіївки** і наносить удари по нашим позиціям. Можливо, готуючись до більш активних дій. Під питанням ситуація в Новоселівці, можливо наші мають частковий успіх. На **південь** від **Олександрівки** (біля Мар'їнки) ворог вирівнює фронт і має успіх за рахунок переваги в артилерії.

🔘**Запорізький **відтинок - чекаємо офіційних повідомлень. Біля **Нестерянки** уточнено ситуацію. Враховуючи час останнього уточнення, то невідома ситуація на південь від **Мирного**.

🔘**Херсонський** напрямок - 128 ОГШБ підняла прапор над **Нововознесенським**. Зі звіту ОК ""Південь"" випливає перехід **Новогреднєвого та Шмідтового** в сіру зону.

🔴У випадку **неточностей на карті**, ви можете нам повідомити через бот @newsdeepstatebot. 

↔️Нагадуємо, що в загальному доступі не може існувати точної карти бойових дій, а інформацію, як переможну так і не дуже, завжди краще сприймати зі скепсисом і чекати візуальних підтверджень чи повідомлення ГШ ЗСУ. Ну і звісно, довіряйте перевіреним джерелам.",Yes,A
167,1366346975,53928,Зеленского на Западе теперь видят вот так. Риторика меняется.,No,
168,1366346975,49621,"Еще прилеты. На этот раз по улице Гурова. Ранены двое мужчин, один тяжело",Yes,A
169,1469021333,10139,"Мархалівка, Васильківщина. 5 загиблих, 3 з них діти",No,
170,1109403194,37398,"🇷🇺Бойцы спецназа Западной группировки показали кадры боевой работы с использованием средств, переданных через фонды помощи ВС РФ. 

__На видео: работа снайперов через тепловизионный прицел, обнаружение позиций врага и корректировка огня артиллерии.

__@razved_dozor",No,
171,1498939244,34336,"🇺🇦Подоляк снова отжигает: Шебекино Белгородской области можно обстреливать, потому что это село, а Киев - нет, потому что это другое, понимать надо. А когда по какому-то украинскому селу прилетает, сразу начинаются нытье и хрюканье

Война История Оружие 
[Подписаться на канал](https://t.me/warhistoryalconafter)",Yes,B
172,1129015804,14101,"Всего жертвами теракта в г. Стамбул стали шесть человек, еще восемьдесят один пострадал. Президент Турции Реджеп Тайип Эрдоган заявил, что к взрыву, скорее всего, причастна женщина, оставившая сумку на туристической улице. Силовики объявили ее в розыск. В сети появился кадр с камеры видеонаблюдения с подозреваемой. Один из турецких политиков даже заявил, что на скриншоте юрист, защищающий права курдов в стране. Однако позже он удалил сообщение.

Публикация политика всего лишь отражение настроения в части турецкого общества. Вероятней всего, если о причастности к взрыву не объявят джихадисты, власти обвинят в теракте курдскую ""Рабочую партию Курдистана"" (РПК). Это может стать поводом начать [военную операцию](https://t.me/directorate4/12610) в Сирии, которая, несмотря на громкие слова, откладывается уже около года. В случае возложения ответственности на курдов теракт окажется одним из рычагов давления на стремящиеся в НАТО Швецию и Финляндию, которые отказываются выдавать участников РПК.",Yes,A
173,1093357968,8906,"В Ливне растет спрос на шевроны с буквой «Z»

Продавец в одном из магазинов с военной одеждой в Бейруте рассказала РИА Новости, что изначально шевроны были напечатаны на зеленом фоне, однако после появления спроса у покупателей, владелец военторга напечатал шевроны в чёрном цвете и с российским триколором.",No,
174,1469021333,12692,"🐏🚶🏾‍♂️**Кадирівські вівцетрахи знову воюють з повітрям

**До лютого 2022 року в суспільстві в Україні, Московії та в світі був стереотип, що кадирівці - великі воїни, які не бояться смерті і мають хорошу військову підготовку, проте війна розвінчала міфи. Насправді кадирівці просто тікток воїни, а в справжніх боях вони несуть значні втрати на рівні з взятими на строкову службу восени молокососами. 

Весь світ боявся, тепер сміється. Сподіваємося, що їх вороги в арабських країнах це бачать і готуються.",Yes,A
175,1283359437,40792,"18+ Украинская ДРГ, [ликвидированная](https://t.me/ChDambiev/19652) на Херсонском направлении.

@voenkorKotenok",No,
176,1366346975,51927,"Эхо боёв за Мариуполь. Разбитая и уничтоженная украинская техника,
Фото от подписчика
@Ugolok_Sitha",No,
177,1536211233,1350,"⚡️**US Senate to vote on $40bn Ukraine aid bill on Wednesday
**
US Senate Republican Leader Mitch McConnell has said he expects the Senate to vote on $40bn in proposed aid to Ukraine on Wednesday after holding a related procedural vote on Monday.

**⚡️В среду Сенат США проголосует за законопроект о помощи Украине на 40 миллиардов долларов
**
Лидер республиканцев в Сенате США Митч Макконнелл ожидает, что Сенат проголосует за помощь Украине в размере 40 миллиардов долларов в среду после проведения соответствующего процедурного голосования в понедельник.",No,
178,1080134301,18082,Когда мобилизовали тиктокера,No,
