Sr. no.,Post,HRV Result,HRV Type
161,"УКРАИНА, ЕЁ ВОЕННЫХ ПРИНИМАЮТ И ПРИНИМАЮТ В ПЛЕН. СЕЙЧАС ФРОНТ ДВИНЕТСЯ, И ПОЙДЕТ ОСНОВНОЙ ПОТОК. 

Донбасский интернет, соцсети и рассылки кипят от информации, Минюст набирает и набирает новых сотрудников, тюрьмы и зоны забиты «новым контингентом». 

На Украине, сдаваясь в армию, люди должны знать: дальше или погост, или плен.",Yes,D
164,"Сегодня снова был в Мариуполе. По дороге на трассе россияне собираются асфальт менять, внутри города - стройка и разбор завалов, много гражданского транспорта и люди торгуют на каждом шагу, работают заправки. В наиболее пострадавших районах людей практически нет, выехали даже оттуда, где во время боёв было очень много гражданских, в том числе детей. 

Вернулся в Донецк, а тут обстрелы в Куйбышевском, Кировском, Петровском районах. Звуки разносятся по всему городу. Параллельно ""поливают"" по Горловке и Ясиноватой. Камня на камне не оставляют от этих городов. 

В общем, ничего нового. Ситуация пока никаким образом не изменилась. Так живём последние несколько месяцев.",Yes,B
170,💪🏻**Захоплені в полон свинособаки**,Yes,D
173,"**Утро начинается с новостей о ядерке: США впервые за 30 лет представили новый стратегический бомбардировщик B-21 Raider, способный нести ядерное оружие и использовать маскировку, чтобы скрываться от самых современных систем ПВО**

Сигнал для РФ.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",Yes,B
177,"**__«""Аллея ангелов"" уходит в небо»__**

Команда [«360»](https://t.me/tv360) сняла клип «Аллея ангелов» с участием детей из Донбасса

Юных артистов вывезли в Подмосковье по одной причине: жить и расти в условиях постоянных бомбежек и стрельбы невозможно. Память о взрывах, разрушенных зданиях и погибших сверстниках останется с детьми Донбасса навсегда. 

**«Аллея ангелов»** — мемориал в Донецке с именами 149 детей, погибших во время бомбежек. Его открыли в 2015 году. ",Yes,A
178,"⚡️🇷🇺🇺🇦 **Минобороны России**: Учитывая катастрофическое положение, сложившееся на металлургическом комбинате «Азовсталь», а также руководствуясь чисто гуманными принципами, Вооруженные Силы России **предлагают** боевикам националистических батальонов и иностранным наемникам с 06:00 (мск) 17 апреля 2022 г. **прекратить любые боевые действия и сложить оружие. Всем, сложившим оружие, гарантируется сохранение жизни**.

Для практической реализации мероприятий этой очередной гуманитарной операции предусмотрен следующий алгоритм действий:

с 05:00 (мск) устанавливается непрерывная связь между российской и украинской сторонами для взаимного обмена информацией;

с 05:30 (мск) боевики националистических батальонов и иностранные наемники – с одной стороны, Вооруженные Силы России совместно с воинскими формированиями Донецкой Народной Республики – с другой стороны, объявляют «режим полной тишины» и гарантируют его неукоснительное соблюдение; 

фактическое начало действия «режима тишины», это 06:00 (мск) обеими сторонами обозначается поднятием флагов: с российской стороны – красных, с украинской стороны – белых по всему периметру «Азовстали». Кроме того, факт готовности к введению «режима тишины» сторонами подтверждается по всем каналам связи;

с 06:00 до 13:00 (мск) – выход всех без исключения украинских вооруженных подразделений и иностранных наемников, без какого-либо оружия и боеприпасов.

@warjournaltg",Yes,A
2,"Подбитая бронетехника ВСУ в ходе очередной безуспешной попытки прорыва на Николаево-Криворожском направлении, уничтоженная нашими бойцами.

@sashakots",Yes,D
4,"В результате обстрела Белгорода предварительно есть двое раненых, сообщает губернатор Гладков. На эту минуту атака прекратилась.

@sashakots",Yes,A
8,"Противник продолжает обстрелы Новой Каховки, постепенно разрушая город.Население оттуда постепенно эвакуируется. За 2 дня в городе несколько погибших гражданских.",Yes,A
13,"**__«Героизм» ВСУ в Донецке: Удар по стоматологии. Двое раненых
__**
Лариса Чубарова из Донецка с места обстрела — украинский снаряд попал во двор, повредив помещение стоматологии и окрестные дома. Двое мирных жителей ранены. 

@voenkorKotenok",Yes,A
23,"Донецк с раннего утра сотрясают взрывы. Украинские артиллеристы бьют практически по всем районам города. Достаётся и соседней Макеевке. Там сегодня погибло два человека, ещё двое ранены. 
Число раненных в столице ДНР возросло для пяти, один человек погиб. 
@epoddubny 
https://t.me/RtrDonetsk/8917",Yes,A
27,"В рамках операции [""Коготь-меч""](https://t.me/directorate4/14169) ВС Турции нанесли удары по курдским силам в сирийских провинциях Алеппо, Ракка и Эль-Хасака. Целью турецких летчиков стали блокпосты, укрепления и склады вооружения. Неподалеку от г. Эль-Хасака под удар попал совместный гарнизон контртеррористического подразделения ""Сирийских демократических сил"" и международной коалиции во главе с США. При налете погибли два бойца арабо-курдских сил, еще три получили тяжелые ранения. Американцев в части не было. Также ВВС Турции разбомбили несколько электроподстанций и повредили два объекта нефтяной инфраструктуры в северной Сирии.

По данным турецкого оборонного ведомства, всего с начала операции ""Коготь-меч"" военные нейтрализовали сто восемьдесят четыре бойца курдских сил.

Москва и Вашингтон призвали Анкару к сдержанности, чтобы не эскалировать конфликт в регионе.",Yes,A
32,"⚡️[**Віталій Кличко:**](https://t.me/vitaliy_klitschko/1571)** Із-під завалів будинку в центрі столиці, у який вчора вранці влучив російський дрон-камікадзе, дістали тіло ще однієї загиблої мешканки

**Це вже п’ята жертва варварської атаки росії на столицю 17 жовтня.

👩🏻‍🚒Пошуково-рятувальні роботи в будинку тривають. Працюють рятувальники, інші служби. Розбирають завали та вивозять будівельне сміття.",Yes,A
35,"**⚡️Украина закрывает 4 таможенных поста с Молдовой, сообщают местные СМИ.

**В частности:

КПП Отачь, 
КПП Унгурь, 
КПП Окница, 
КПП Гриманкэуць.

Также информацию о закрытии погранпунктов подтверждают в Госпогранслужбе Украины. Там объясняют такое решение повреждением объектов критической инфраструктуры.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",Yes,B
37,"**🇷🇺🇺🇦 Массированный ракетный удар ВС РФ в зоне СВО

**Российские войска нанесли очередной массированный ракетный удар по различным объектам на территории Украины. 

▪️В Изюмском районе** Харьковской области** удар пришёлся по объекту «газовой промышленности». Вероятнее всего, речь идёт о **Шебелинском газоперерабатывающем заводе** — по нему уже наносились удары в июне, тогда пожар не удавалось локализовать почти неделю. 

В 13 часов три взрыва прозвучало в самом **Харькове**.

▪️Аналогичной целью стал некий объект газовой промышленности в **Киевской области**. В самой столице зафиксированы перебои со светом и отключения электричества.

▪️В **Днепропетровске** помимо зафиксированного удара по [цеху Южмаша](https://t.me/rybar/41240) есть информация о поражении двух подстанций и некоего объекта газодобычи. 

▪️В **Очакове** БЛА-камикадзе «Герань» поразил «логистический объект». По нашей информации, ВС РФ отработали по резервам ВСУ, которые готовились к операции по занятию **Кинбурнского полуострова**. Всё огневое поражение в Очакове сейчас наносится в интересах срыва этой операции.

▪️В** Одессе** поражена воинская часть на **Заставе**, а в области — некий «объект инфраструктуры».

▪️В** Львовской области **местные жители сообщили о попадании в **Стрыйском районе**.

▪️Ещё один из прилётов зафиксирован в **Винницкой области**.

▪️О срабатывании средств ПВО известно в **Полтавской** и **Черкасской областях**.
#дайджест #Россия #Украина
@rybar

__*Поддержать нас: __`4377 7278 0407 7977`",Yes,B
52,"**⚡️Финляндия разрешит разместить на границе с Россией ядерное оружие, если НАТО одобрит её заявку на вступление в Альянс — **[Neewsweek](https://www.newsweek.com/finland-will-allow-nato-place-nuclear-weapons-border-russia-1754925)** 

**Путин снова всех переиграл 🤡

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",Yes,D
53,"О расстрелянных наших пленных - неприятное скажу: десяток воинов, в брониках, имеющих оружие, не раненые, не контуженные, сдались в плен рассчитывая на милосердие врага. Или что кто-то другой за них повоюет? Или враг победит в итоге и им будет нормал? Или поменяют и все дела?  Но враг оказался беспощаден, сдавшиеся были убиты. Возможно ли было другое развитие этой истории? Если бы из этой группы нашлось еще хотя бы человека три готовых сопротивляться? Вопрос с подвохом.
ПС
Почему-то вспоминаю штурмовую группу ""Востока"" 20 дней продержавшуюся в полном окружении в мкр. ""Восточный"" на окраине Мариуполя... С одним из бойцов, из этих окруженцев, позывной ""Лес"", я заходил в апреле в 35 здание на ""Азовстали"". Он и спустя месяц мерз, не отогрелся от проморженной девятиэтажки. Потом встречал ""Леса"" на жуткой ротации под Угледаром. Жуткой, потому что было непонятно, чем она закончится - убитыми или просто ранеными? ""Лес"", улыбчивый, молодой парень, по прежнему воюет, а мог еще в марте сдаться. Но, не стал. Возможно, он что то знал об этой войне. Что-то секретное, непонятное тем, кто сдался без боя, добровольно стал жертвой и был убит бандеровцами.
 Мы получили очередной тяжелый урок. Крайний был в начале 2000-х, когда ичкерийцы начали резать головы нашим пленным, снимая это на видео. И тогда наши перестали сдаваться. Думаю, тут будет такой же эффект. Надеюсь.",Yes,A
54,"🇷🇺🇺🇦 **Битва за Харьков: обстановка на Изюмско-Купянском участке фронта
**__по состоянию на 11.00 9 сентября 2022 года

__ВСУ продолжают расширять зону контроля к юго-западу от **Купянска**. Действуя малыми маневренными тактическими группами, подразделения противника огибают немногочисленные очаги организованного сопротивления и блокируют населенные пункты. 

▪️Украинские формирования заняли **Сеньково** на правом берегу реки Оскол. Из-за подрыва дамбы и обмеления Краснооскольского водохранилища реку на этом отрезке можно перейти **вброд**: при наличии желания, ВСУ могут спокойно форсировать водную преграду и перерезать трассу **Купянск — Боровая**.

▪️Украинские ресурсы опубликовали фотографию поднятых флагов у здания администрации **Шевченково** украинского флага и флага __города__ **Харьков** (не области). Фото от сегодняшнего дня или нет — непонятно, но городок, как минимум, находится в полуокружении украинских войск. 

▪️Трасса Р-07 на участке от **Шевченково **до **Грушевки** находится под полным контролем ВСУ: после зачистки мобильными группами украинские формирования перебросили вторым эшелоном тяжёлую бронетехнику. Артиллерия и авиация ВКС России на данный момент не даёт ВСУ подойти ближе, чем на 2-3 км к окраинам **Купянска**.

▪️По косвенным признакам можно судить, что в **Балаклее** __может__ сохраняться присутствие российского гарнизона. До сих пор не опубликовано подтверждения занятия территории 65 Балаклейского арсенала, и в теории __может__ сохраняться контроль над «дорогой жизни» **Балаклея — Савинцы**.

🔻Несмотря на активное огневое поражение со стороны ВС РФ, на данный момент прилагаемых усилий__ пока__ недостаточно, чтобы ограничить прорыв. За счёт переброски резервов оголяется Изюмский фронт: следующей целью наступления ВСУ может стать как прорыв по полям дальше на **Большой Бурлук**, так и полноценное окружение Изюмской группировки ВС РФ.

[**Карта в большом разрешении

**](https://i.ibb.co/nQRCGnh/09-09-ru-1.jpg)@rybar",Yes,D
56,"Автодятел из Аргентины умудрился отправить 23 человека в больницу, потому что не справился с управлением у входа в театр",Yes,B
64,"В Новокосино некая мадам попыталась выйти с 5 этажа **по связанному белью**, как в кино, но почти сразу же десантировалась на землю.

Удивительно, что после приземления «лётчица» смогла встать и пройти несколько метров",Yes,C
66,"Снос разрушенных многоэтажек в Мариуполе. Сейчас помимо снова руин, в городе аврально строят целый квартал новых пятиэтажек, а до 2025-го года планируется построить до 130 тыс. квадратных метров жилья.",Yes,B
67,"В Нигерии при нападении боевиков в штате Кадуна погибли тридцать мирных жителей. Инцидент произошел в н.п. Малагум и Соконг в округе Каура. По свидетельствам очевидцев, десятки вооруженных мужчин с криками ""Аллаху акбар"" открыли огонь по жителям поселений. Некоторых жертв нападавшие сожгли. Ответственность на нападение пока никто не взял. Власти Нигерии подозревают, что к массовому убийству причастны боевики из племени Фулани.",Yes,A
69,"Представительство ДНР в СЦКК — в данный момент известно о 5 погибших, 20 человек ранены.

@voenkorKotenok",Yes,A
71,"Украинский режим множит свои преступления. Цель - устроить техногенную катастрофу и обвинить в этом войска РФ. 

На фоне уже второго за день обстрела Запорожской АЭС, в украинском сегменте ТГ упорно циркулируют слухи о планируемой Киевом ""принудительной эвакуации населения из Запорожской, Херсонской и Харьковской областей"". 
https://t.me/bbbreaking/132561

@epoddubny",Yes,D
74,"Покинувшие свои позиции в Соледаре военнослужащие 93-й бригады ВСУ рассказывают о преступной халатности своего командования:  разоружили и снова вернули на передний край, снабжения нет, покинуть позиции можно только в случае смерти или ранения. 

Содержание обращения не ново. И в этом случае, резонный совет - сложить оружие и бежать, в противоположную от собственного расположения сторону, не выглядит издёвкой. Сдаться в плен, при нынешнем положении - не позорно. Позорно и глупо - быть смешанным с донбасским черноземом ради интересов преступного украинского режима.

@epoddubny",Yes,A
79,"Главком ВСУ Залужный, конечно все понимает. Смотрит на эту карту и на портрет Зеленского. 

Если не будет приказа отступать в новом котле окажутся подразделения 17-й танковой, 58-й мотопехотной, 111-й и 118-й бригад теробороны, нацбатальона «Донбасс» ВСУ, а также 4-й, 27-й бригад и 15-го полка НГУ.

Уже понятно, что окружение будет, не сейчас так через 10-15 дней. И это, конечно поразительная способность киевского режима убивать и отправлять в плен собственных боевиков. 

Ну, а батальону «Донбасс» приготовиться! Побратимы из азова ждут. 

@epoddubny",Yes,D
81,"❗️**Десятки трупов солдат ВСУ привезли в Харьков. Тела быстро сжигают в крематории и скрывают от родственников

**Ранее “Иди и смотри” [сообщал](https://t.me/smotri_z/4089) о работе передвижного крематория в Харькове. За это время в нем сожгли сотни тел украинских солдат.

Намедни в крематорий возле метро ""Академика Павлова"" поступила свежая партия мертвых солдат ВСУ. По данным источников “Иди и смотри”, они были ликвидированы ВС РФ севернее Золочева.

__“Речь идет о десятках тел, которые скрывают от родственников”, __— рассказал собеседник канала. 

По его словам, сейчас тяжелые бои идут в районе населенного пункта Уды в Харьковской области, где ВСУ несут большие потери.

Параллельно высокие потери ВСУ подтвердили “Иди и смотри” в харьковском госпитале.

Координаты передвижного крематория: 50.011405, 36.319730

**__@smotri_z__**",Yes,A
82,"Украинская сторона официально признала сдачу в плен 264 ""азовцев"" в Мариуполе. 

@epoddubny",Yes,D
85,"""**Россия планирует нанести удары по своей газотранспортной инфраструктуре с целью обвинить в этом Украину и затем нанести удар по украинской ГТС перекрыв по ней поставки газа в Европу**"" - Зеленский

«Они взорвали Северный поток-1. И дальше они взорвут у себя что-то. И обвинят нас – для того, чтобы ударить по нашей газотранспортной системе. Они скажут: мы просто реагировали. А потом скажут Европе: смотрите, нет другой возможности поставлять газ кроме как срочно запустить Северный поток-2. Который вы, немцы, не запускаете. Вы должны лоббировать снятие санкций, потому что Европа останется без газа – из-за Украины, скажет он (Путин – Ред.). Вот такой будет шаг», – заявил Владимир Зеленский в интервью немецкому изданию ZDFheute Nachrichten. 

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",Yes,B
93,"**В Бериславе на Херсонщине оккупанты приказали местным жителям уехать до 10 ноября. Причиной необходимости такой скорой эвакуации орки называют якобы возможное разрушение бойцами ВСУ дамбы Каховской ГЭС, — **[**Генштаб ВСУ

**](https://www.facebook.com/GeneralStaff.ua/posts/451924530453964)Похоже, оккупанты сами готовятся подорвать ГЭС🤷🏻‍♂️.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",Yes,B
95,"Минобороны РФ:

За сегодня авиацией и ПВО ВКС России сбиты в воздухе: один вертолет Ми-24  ВВС Украины и три БПЛА, в том числе один – «Байрактар ТБ-2». 

Оперативно-тактической, армейской и беспилотной авиацией поражены 79 объектов военной инфраструктуры Украины: 

 ⁃ четыре пункта управления и узла связи
 ⁃ два зенитных ракетных комплекса
 ⁃ три установки РСЗО
 ⁃ одна станция РЭБ
 ⁃ шесть складов боеприпасов и ГСМ
 ⁃ 54 мест скопления боевой техники

@epoddubny",Yes,B
105,"🇷🇺🇺🇦 Вопрос к [источнику ](https://t.me/epoddubny/9361)от МО РФ: а кто говорил про 86 военнопленных из **Запорожья**?

Вроде как[ речь шла](https://t.me/epoddubny/9358) про 50 военнопленных, переданных из Белгородской области. Это, уж извините, от Запорожья далековато — под **Харьковом **дело было.

Ну и как это, кстати, отменяет [факты расправ ](https://t.me/rybar/30016?single)над российскими военнопленными в **Малой Рогани**? Или запись на камеру [фактов глумления](https://t.me/rybar/30217) над трупами?
#Россия #Украина
@rybar

__*Поддержать нас: 4377 7278 0407 7977__",Yes,A
112,"**СВОИХ НЕ БРОСАЕМ ✊🏻
Мы вместе! Поэтому прошу вас поддержать участием **[наш гуманитарный сбор](https://t.me/KirillSchitov/2501)** **для **бойцов Донбасса**! 

Давайте ещё немного поднажмем и соберём **оставшиеся 790 тысяч руб!

**Тогда к ранее [купленным коптерам](https://t.me/KirillSchitov/2478), [АКБ](https://t.me/KirillSchitov/2419) для БТР, [зимним палаткам](https://t.me/KirillSchitov/2510) и [печкам](https://t.me/KirillSchitov/2522) сможем добавить 160 зимних спальных мешков, шины для УАЗа и Урала, 150 пар зимней обуви, бензопилы, масксети, теплую одежду и много еще того, чего не хватает на передовой ребятам.
**
Ваше активное участие сейчас особенно необходимо! 

А если не мы, то кто? 

Помочь можно на карту:
Сбер: **2202206127144918
(Елена Щ.)

**ВТБ:** 2200240752028445
(Мария Ш.)

**Тинькофф:** 2200700488823385
(Мария Ш.)

Друзья! Чем быстрее мы с вами соберём, тем быстрее всё необходимое окажется у наших воинов из **подразделений НМ ЛНР.** **Я лично отвезу и передам, **как и все предыдущие разы.

Если вы расскажете про сбор друзьям и коллегам, то тоже сделаете большое дело!** 
Мы вместе, мы победим!✊🏻**",Yes,D
122,Пожар на объекте в Ровенской области.,Yes,B
125,"🇷🇺🇺🇦 **Брифинг Минобороны России** (01.05.2022 г.)

**▫️ Вооруженные Силы Российской Федерации продолжают специальную военную операцию на Украине.
** 
**💥 Высокоточными ракетами** **«Оникс»** **в районе Одессы на военном аэродроме уничтожен ангар** с поступившим из США и европейских стран вооружением и боеприпасами, а также разрушена взлетно-посадочная полоса.
 
**💥 Высокоточными** **ракетами воздушного базирования** **ВКС России** нанесено поражение **семи** военным объектам Украины. Среди них: **четыре** района сосредоточения живой силы и военной техники, а также **три **склада ракетно-артиллерийского вооружения и боеприпасов в районах населенных пунктов Берёзовое Донецкой Народной Республики, Слатино и Барвенково Харьковской области.
 
**💥 Оперативно-тактической и армейской авиацией ВКС России **уничтожены **два** украинских **зенитных ракетных комплекса С-300 **в районах населенных пунктов Запорожье и Артемовск. Поражены **два** склада боеприпасов и горючего в районах населенных пунктов Привольное и Шевченко Запорожской области, а также** пятнадцать** опорных пунктов и районов сосредоточения живой силы и техники. В результате ударов уничтожены до **140** человек личного состава и **19** единиц бронетехники ВСУ.
 
**💥 Ракетными войсками и артиллерией **в течение суток поражены **786** районов сосредоточения живой силы и военной техники ВСУ, **24** пункта управления и **три** склада ракетно-артиллерийского вооружения и боеприпасов в районе Грушевахи. Уничтожены до **200** человек личного состава, батарея реактивных систем залпового огня и до **20** единиц военной техники.
 
**💥 Российскими средствами противовоздушной обороны** в районе Петровское Харьковской области **сбиты** **два** **бомбардировщика Су-24м** воздушных сил Украины. Также в течение ночи уничтожены **12** украинских беспилотных летательных аппаратов в районах населенных пунктов Межевая, Новобогдановка, Мироград, Широкая Балка, Приютное, Торское, Старомихайловская, Балаклея и Харцизск. Над населенным пунктом Токмак Запорожской области сбиты **две** украинские **баллистические ракеты «Точка-У».** Также над населенным пунктом Семёновка Харьковской области уничтожены **два** украинских реактивных снаряда системы залпового огня «Смерч».
 
**📊 Всего **с начала проведения специальной военной операции уничтожены: **145** самолетов, **112** вертолетов, **672** беспилотных летательных аппарата, **281 **зенитный ракетный комплекс, **2703 **танка и других боевых бронированных машин, **312 **установок реактивных систем залпового огня, **1203 **орудия полевой артиллерии и миномета, а также **2514 **единиц специальной военной автомобильной техники.

#Минобороны #Россия #Украина @mod_russia",Yes,B
128,"[❤️‍🩹](https://static.espreso.tv/uploads/photobank/256000_257000/256176_728x542_1_7c4bbce72e0f1715a79884379b14127c1000x745_0xac120003_19301764511581935127_new_960x380_0.jpg)З великим смутком ми, як і решта світу сприйняли звістку про смерть **Її Величності Королеви Єлизавети ІІ**. 

⚜️Тепер на трон **Сполученого Королівства** сідає **король Чарльз ІІІ**, син покійної королеви Єлизавети ІІ.

⁉️Але чому він **Чарльз ІІІ**, і що було з першим та другим? Перший та другий **Чарльзи** були з **династії Стюартів – королів Шотландії**, які посідали трон в **Лондоні в XVII - XVIII ст**. **Чарльз І Стюарт**, який правив в 1625 – 1649, закінчив своє життя на ешафоті. Його приговорили до страти шляхом відтинання голови. Так, то була не дуже приємна історія.

👑Після років осібного правління диктатора **Олівера Кромвеля** (це був єдиний період в історії Англії, коли не було короля чи королеви), британський парламент вирішив реставрувати монархію і з 1660 по 1685 королем був **Чарльз ІІ з тієї ж шотландської династії Стюартів**. 

🥉Взагалі-то був ще й **Чарльз ІІІ Стюарт**, або **Bonnie Prince Charlie** **(Красунчик принц Чарлі)**, який мав претензії на престол Шотландії та Англії, після того, як в 1688 парламент провів так звану **«Славну революцію»**, відсторонивши від влади католицьку династію Стюартів і звівши на престол протестантське подружжя **Вільгельма та Марії Оранських**. Проте, декілька повстань **якобітів (від Якова ІІ Стюарта**, якого вигнав парламент в 1688) в Шотландії за **Чарльза ІІІ** Стюарта зазнали поразки, і третій Карл так на престол і не сів аж до 2022 року. 

🇬🇧Проте, звісно ж, нинішній король **Британської Співдружності** не має жодного стосунку до династії Стюартів. Він належить до династії **Віндзорів**, яку започаткував ще його прадід **Георг V**, який правив Британською імперією з 1910 по 1936. 

🏰Бачите, яка штука, нині правлячий **Чарльз ІІІ** має не такі права на трон Шотландії, як Стюарти. Проте він має зовсім не примарні права на трон… росії. 

💣Справа в тому, що **Георг V **був кузеном розстріляного **Ніколая ІІ**, останнього імператора Російської імперії. Виходить, що **Чарльз ІІІ** по прямій лінії від прадіда, є внучатим племінником **Ніколая ІІ**, себто з нині правлячих монархів він єдиний має абсолютно законні права претендувати на корону росії, якби уявити, що росія, або якась її частина, яка має право на спадкоємність від російської імперії, захотіла би реставрувати монархію і стати в такий спосіб однією з країн Британської Співдружності Націй. 

**__Long Live The King__**",Yes,A
129,"‼️‼️‼️**В Белгородской области временно остановлено движение поездов из-за обстрела железнодорожной станции**

В одном из сел Белгородского района территорию железнодорожной станции обстреляли снарядами, пострадал мужчина, получивший осколочные ранения ног, сообщил губернатор Белгородской области Вячеслав Гладков.",Yes,A
131,"Украинские фашисты обстреляли в Запорожье очередь из машин, которые ждали проезда на подконтрольную России территорию. Есть погибшие мирные жители. Киев мстит простым людям за нелояльность.

@sashakots",Yes,A
132,"⚡️Накопление сил и техники Украины у линии соприкосновения в Запорожской области колоссальное, **такого количества на этом направлении еще не было **— Рогов",Yes,D
140,"ДНР. РУБРИКА «СВЕЖИЕ УКРАИНСКИЕ ПЛЕННЫЕ». ДЕСАНТНИК ВСУ: «МЫ УСТАЛИ ОТ ВОЙНЫ, НО ЧТО ДЕЛАТЬ, ЕСЛИ НАДО»…

Рядовой Иван Фучела, до призыва - санитар морга. 
Им еще **надо воевать.** Откровенно. Им надо… То есть желания уже нет, но уверенность в необходимости еще остается. Это говорят украинские резервисты. 

Если так, то полдела мы уже сделали. Осталось убедить, что «надо воевать» - это движение к пропасти. Есть альтернатива - не воевать, это - сохранение жизни и Украины, как страны. Хотя, еще чуть-чуть и навряд ли. 

Кстати о денежной мотивации украинских солдат: 
- ежемесячное довольствие 14000 гривен,
- ежемесячные выплаты за участие в боевых действиях 100000 гривен. 
Курс гривны к рублю в **ДНР 1 - 1,25. **
Примерный курс гривны к рублю на **Украине 1 - 2,50**
В ДНР обещают добровольцам 200-300 тысяч рублей в месяц.    
Но мотивация у нас: «нам отступать некуда и мы победим», а на Украине «не хотим, но надо».

**Полная версия:
**
[YouTube](https://youtu.be/QGJsCIgPadc)

[ДЗЕН](https://dzen.ru/video/watch/63271a430ed4f941eeffd0dc)

[RuTube](https://rutube.app.link/share?source=iOSAppShare&url=https://rutube.ru/video/9d4948891af29679113dc8f3d55ee128/&$fallback_url=https://rutube.ru/video/9d4948891af29679113dc8f3d55ee128/)",Yes,A
146,"**Ничего такого, просто пленные руснявые солдаты учат** **украинские колядки**😏

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",Yes,D
147,"Нацист, Володимир Покришка, принимал участие в геноциде граждан Донбасса с 2014 года.

Был денацифицирован в результате ""успешного контрнаступления"" ВСУ. 

**💤Тепеть в такой же позе, дёргает за хуй своего кумира. Правда уже в аду**",Yes,D
