Sr. no.,Post,HRV Result
22,"❗️Спустя несколько минут после заявления МО России о «приостановке участия в зерновой сделке», **на всей территории Украины объявлена воздушная тревога.
 
**@warjournaltg",No
23,"""Вбитий"" московськими ЗМІ Арсен Аваков записав відео з ""того світу""",No
24,🇱🇻 **Латвія дозволила своїм громадянам воювати проти Московії у нас. Це все більше стає схоже на єдиний європейський хрестовий похід проти орди**,No
25,"Калинівка, Вінницька область, військові склади",No
26,"**Помните украинцы покупали спутник?

**Так вот, за два дня работы спутника ""ICEYE"", который приобрели украинцы, враг потерял больше бронетехники, чем стоил весь проект со спутниками. Об этом сообщил глава Минобороны Резников.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
27,Взрывы в Тернопольской области и Ивано-Франковске.,No
29,"В МККК заявили, что вторая попытка по эвакуации из Мариуполя 200 тыс человек сорвалась",No
31,"ВГА Херсонской области: референдум о выходе из состава Украины и присоединении к России **состоялся**, данное решение поддержано большинством жителей. 

@voenkorKotenok",No
32,"📢**Нагадуємо, що у разі перебоїв із зв'язком та електропостачанням можуть виникати збої у роботі вуличних сирен. У такому разі про сигнал повітряної тривоги сповіщатимуть за допомогою гучномовців Нацполіції та ДСНС

**🙏Будь ласка, звертайте увагу на такі оповіщення і в разі повідомлення про повітряну тривогу прослідуйте в укриття.

📱 За наявності зв’язку —  орієнтуйтеся на офіційні повідомлення міської влади у Telegram чи сповіщення у застосунку ""Київ Цифровий"".

🤍Бережіть себе та близьких!",No
33,"🦷**У столиці невідкладна стоматологічна допомога надається безвідмовно та безоплатно** і**з 10:00 до 16:00

**❕Графік роботи та адреси можуть змінюватися, оскільки місто живе в умовах воєнного стану.  Доцільним буде пересвідчитися щодо роботи конкретного закладу за телефонами, які надаються нижче.

**🧑🏼‍⚕️Лівий берег

▫️вул. А. Навої, 1 
**(хірург, терапевт, дитячий)
(044) 512-16-47

**▫️вул. Вербицького, 3-Б
**(Хірург, терапевт)
(044) 564-61-84

**▫️вул. Харківське шосе, 121
**щелепно-лицьове відділення
КМКЛ № 1, хірургічна стоматологія
(044) 561-17-30

**🧑🏼‍⚕️Правий берег

▫️вул. Іллєнка, 69-А
**(Хірург, терапевт, дитячий)
+380 (67) 449 31 10

**▫️вул. Кирилівська 119/1
**(Лікар стоматолог-хірург)
із 11:00 до 16:00",No
35,"**Пиздец прямиком из Пензы. 
**Вчера 17-летнюю блоХершу накачал собственный парень неизвестно чем, обмазал месячными и заставил на камеру говорить, что она не против с ним лишиться девственности и никаких претензий иметь не будет. 

Если вы думаете, что уже где-то видели это тело, то мы вам напомним: 

https://t.me/zvoinaukraina/10772",No
36,"**❗️МИГ-31К в Беларуси приземлился и по Украине пошли отбои тревог. Пусков зафиксировано не было, просто мешали украинцам спокойно жить

**Такие воздушные тревоги могут продолжаться ещё несколько дней из-за учений в Беларуси российской авиации

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
37,"В Пакистане продолжает развиваться [политический кризис](https://t.me/directorate4/12137), связанный с пока действующим премьер-министром страны Имраном Ханом. По решению Верховного суда, парламент, распущенный Ханом [неделю назад](https://t.me/directorate4/12139), вновь собрался для голосования по вопросу вотума недоверия политика. Оппозиция заявляет, что у нее есть 172 голоса из 342 необходимых для отстранения премьера. 

Имран Хан заявил, что несогласен с голосованием. Он подчеркнул, что борется за защиту суверенитета Пакистана, и призвал своих сторонников выйти на улицы, чтобы бросить вызов противникам, решившим свергнуть его. В связи с этим в Исламабаде усилили меры безопасности, силовики взяли под охрану ключевые объекты в городе. Политикам и чиновникам, в т.ч, и Хану, запрещено покидать Пакистан без специального разрешения.",No
38,"⚡️Россия не отказывается от переговоров с Украиной, но чем больше откладывается процесс, тем сложнее будет договориться (с) Сергей Лавров.

Они не хотят договариваться, Сергей Викторович. Им даже Крыма и Донбасса уже мало. Вот, например, заявление секретаря СНБО Украины Данилова, цитирую: 

__Украину уже не устроит ни «сдача» Россией Крыма с Донбассом, ни репарации за «вторжение». Киев вместе с западными союзниками будет добиваться «полной капитуляции и демилитаризации РФ».__",No
39,"**‼️🇷🇺247-й казачий полк ВДВ охотится на ВСУ на Херсонщине
**Враг прячет боевиков и технику по посадкам у линии фронта, готовя очередные попытки наступления, но за ними круглосуточно охотятся гвардейцы-десантники.
**__На днях парням ушёл Mavic 3 от наших читателей.
__****t.me/RVvoenkor**",No
40,"Две площадки отказались работать с RT, когда узнали, что тематика вечера - творчество, посвящённое СВО. Никогда про эти заведения не слышал, зашёл посмотреть, каким же мероприятиям там отдаётся предпочтение.

И сразу, ДК «Рассвет»: «Живи там хорошо. Музыка русской эмиграции»

Или «Фотофактура»: «Вечеринка, посвящённая здоровому гедонизму»

Спасибо, что не благотворительные вечера для ВСУ.

https://t.me/rt_russian/123905",No
41,"**🇺🇦Наша мета — перемога!

**Прості резервісти, прості піхотинці вибили спецназ, кадировців і десантників ворога з Мощуна 21 березня.

Слава кожному учаснику та вічна пам'ять нашим воїнам, для кого ця битва була останньою.",No
43,"Нагадуємо, що в Києві очікується дуже погана ситуація вночі. Ночуйте в сховищах. На вулиці в жодному разі заборонено виходити. Всі хто вийде - будуть ідентифіковані, як диверсанти.",No
44,"🔄**Ситуація на фронтах станом на 12 жовтня

****⏩****На кордоні з біломосковією **ситуація без змін[.](https://deepstatemap.live/#6/49.438/32.053) 

**⏩****На** **Сватівському** напрямку - частина кацапських джерел повідомляють, що наші відбили Торське та Терни, хоча всі оці захоплення і втрати відбувалися лише в їх фантазіях. В нас виникли питання по одному із ""гайдаївських"" сіл і зараз ситуація на уточнені. На Луганщині кацапи продовжують вибудовувати цілий укріпрайон. 

**⏩****Бахмутський **відтинок - тривають інтенсивні бої, хоч ворог і малює Спірне своїм, але ЗСУ іншої думки. На ділянці продовжується концентрація значної, поки що, ще живої сили ворога. Нинішня щільність військ близька до тієї, що була в Попасній в квітні-травні. Звісно, в нас є переживання за Бахмут і ми розуміємо приблизно якою ціною утримується фронт, проте не варто думати, що хтось розумніший за ГШ, і що ГШ не розуміє, що відбувається на найважчій ділянці фронту.

**⏩****Авдіївський** відтинок - без змін. За попередніми даними ворог в Мар'їнці та у Великої Новосілки успіхів не досяг.
 
**⏩****Запорізький **відтинок - без змін. 

**⏩****Херсонський** відтинок - без змін, чекаємо офіційної інформації. 

🔄Оновлення мапи протягом 40 хвилин, значних змін не буде.

[🖍](https://deepstatemap.live/#6/49.438/32.053)У випадку **неточностей на карті**, ви можете нам повідомити через бот @newsdeepstatebot. 
🛑Нагадуємо, що в загальному доступі не може існувати точної карти бойових дій, а інформацію, як переможну так і не дуже, завжди краще сприймати зі скепсисом і чекати візуальних підтверджень чи повідомлення ГШ ЗСУ. Ну і звісно, довіряйте перевіреним джерелам.",No
45,"**Ukrainian air defense repulsed the attack on Kyiv**

The air defense of Ukraine completely repelled the attack on Kyiv. All cruise missiles and one aircraft of the Russian Air Force were hit. Another plane was destroyed by a Ukrainian fighter jet.

**Украинская ПВО отбила атаку на Киев
**
ПВО Украины полностью отбила атаку на Киев. Поражены все крылатые ракеты и один самолет ВВС России. Еще один был уничтожен украинским истрибителем.",No
46,"В главных городах Украины сегодня вводится **""режим тотальной экономии""** электричества. О принимаемых мерах объявили в Киеве, Харькове, Одессе, Сумах, Николаеве, Виннице, Днепропетровске и Житомире.

Прежде всего, это касается общественного транспорта. Сокращается либо прекращается работа троллейбусов и трамваев. В Харькове увеличиваются интервалы движения поездов метрополитена. Также повсеместно отключается уличное освещение и подсветка вывесок.

При этом в определенной степени данные меры являются опережающими и нацелены на выявление критического порога, связанного с поражением энергообъектов, за которым начнет рушиться вся гражданская инфраструктура.

@voenkorKotenok",No
47,"❗️ **Российская группа хакеров Killnet ""положила"" сайт сейма Латвии.**

Час назад [**в сейме объявили Россию**](https://t.me/opersvodki/7618) ""государством - спонсором терроризма"" и призвали страны ЕС прекратить выдачу виз гражданам РФ и Белоруссии.

@opersvodki",No
49,"**❗️Воздушная тревога во многих областях Украины**. Будьте в укрытиях

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
50,Эту свадьбу все запомнят,No
51,Мужик сказал- мужик сделал😄,No
53,"Вечер в центре Киева. 

Пока рубилово в кровь идет на Донбассе, под Херсоном и Николаевом, в Киеве — расслабон.

Сами свидомиты-укронаци возмущаются, почему идет война, а люди расслабляются у «центров принятия решений».

@voenkorKotenok",No
54,**✅**🔥🚀**Там Одесса сейчас пизды получает**,No
55,⚡️**Зеленский когда узнал что Британия прерывает финансирование**,No
56,"[​​](https://telegra.ph/file/3663e207a23778c9e7de0.jpg)Друзі! Тривають роботи з відновлення покриття з бруківки на Подільському узвозі в столиці. Сьогодні дорожники оновлюють  крайню праву смугу дороги в напрямку Подолу - вулиці Кирилівської. Нині  розбирають покриття, рівняють бордюри. Наступний етап - оновлення основи проїжджої частини та викладання бруківки.

Загалом плануємо відремонтувати 3,5 тис. квадратних метрів дорожнього покриття узвозу. На сьогодні вже оновили понад 600 квадратних метрів дороги від запланованого обсягу.",No
58,"Фото из Мариуполя, сделаны одним из моих спутников в этой поездке.Очень интересный и необычный взгляд на вещи, находящиеся  у всех на виду.Ну и камера его Самсунга однозначно рулит. Где- то в кармане куртки тихонько заплакал мой модный Айфон…",No
59,"Вслед за ЛГБТ пришла очередь зоофилов заявлять о своих правах. В Германии они провели акцию, суть которой выразил один из участников: **«Мне проще вступать в половую связь с животным, нежели с человеком»**",No
60,"Мировые лидеры не примут участие в официальной групповой фотосессии во время встречи на саммите G20 на Бали «из-за дискомфорта в связи с присутствием России на саммите», — The Guardian  🤡",No
63,"**__Сообщение от подписчика: 
__**Это послание специально тем, кому не безразлична эта война и вообще репутация России. Это также обращение к молодёжи и к тем, кто активно следит за событиями и комментирует. 
Где бы вы не были, насколько бы заняты не были, сегодня вы можете помочь своей Родине. 
Да, Россия не просит помощи, и где-то такое чувство, что не интересуется вопросом, как в мире реагируют на происходящее. Но, тем не менее, правда должна быть услышана. Соцсети наполнены фейками. Украина всячески обливает грязью Россию, обвиняя во всех злодеяниях, особенно в тех, что было совершено ими же — украинцами. Сообщество запада клюет на это, потому что все преподносится на правительственном уровне. Веками запад настраивает себя против России и ее властей. Очень надеюсь, что хоть здесь, в России у народа хватит мудрости отличать фейки от реальности. 

Что мы можем делать? Чем помочь? В чём наша роль? В первую очередь, продолжать следить за событиями. Мы все устали, но война не закончилась. Многие критикуют: «Почему так долго?» и т.д., не осознавая того, что идет война против коллективного запада, что Украина - инструмент, и что Россия делает всё для завершения спецоперации с минимальными потерями и человеческими жертвами. 
Пора подключиться к войне хотя бы на соцплощадках и максимально распространять достоверную информацию от военкоров России. Если вы владеете иными языками, пожалуйста, переводите информацию и максимально распространяйте. В наши дни пишется новая страница истории России, и мы можем повлиять на то, чтобы там была написана правда и она была услышана. 
За дело друзья! Россия — это я, это каждый из нас! 
Особенно полезно распространение информации на соцплощадках, которыми пользуются западные потребители. 
Спасибо.

@voenkorKotenok",No
64,"Пресс служба НМ ДНР работает явно лучше чем МО РФ .
https://t.me/vladlentatarsky/16003",No
65,"Бывшая пресс-секретарь пидараса Зели пишет, что она достигла высшей точки ~~просветления~~ декоммунизации.

💤в футболке в ноябре 🤣",No
66,"🔥**Наша команда DeepState продовжує випускати хронологію російсько- української війни 

🎥108-й день війни** вже на нашому **YouTube** каналі. Скоріше переходьте та дивіться.

**▶️**https://youtu.be/ZvKqiZe7V7w

✅Не забуваємо [про підписку](https://www.youtube.com/channel/UCMGRXVYg1wMA6e4zTGX-DwQ/)",No
67,"Коллеги, спокойно, судя по всему, данный скрин — фейк.  Ни на сайте, ни в твиттере ничего подобного нет. Заднюю Киев пока не даёт, и слава Богу. Значит будем давить нацистов до полной победы.

@voenkorKotenok",No
68,"**Потеря Святогорска станет началом конца для ВСУ: российским войскам осталось 15 км до Славянска

**После освобождения Святогорска российские войска вышли фактически в тылу ВСУ.

Нацисты активно использовали естественные преграды (реки, водохранилища) для блокирования движения русских, теперь же ничто уже не остановит антифашистов на пути к Славянску!

Высока вероятность, что сначала российские войска уничтожат позиции противника у Райгородка, зайдя в тыл к противнику, а затем со стороны Святогорска и Красного Лимана нанесут два решительных удара по нацистам!

Многие считают, что раз в Славянске все началось - там все должно и закончится... закончится полным разгромом ВСУ и капитуляцией Зеленского.",No
69,"The New York Times пишет, что треть из 350 переданных ВСУ западных гаубиц уже выведена из строя и не может применяться в боевых действиях. Более того, их починка в полевых условиях невозможна, и орудия отправляются в ремонтный центр в Польше.

@voenkorKotenok",No
70,"**In Lugano, Ukraine has raised almost $2 bln dollars in financial support**

This was announced by Prime Minister Denys Schmyhal. Of this amount, $600 mln is envisaged as financial support, and over $500 mln is envisaged for the development of the agricultural sector in the form of storage facilities for products, improvement of logistics and provision of liquidity for enterprises. In addition, Ukraine has attracted over $500 mln for the heating season and nearly $250 mln for the development of digital transformation projects in our country.

**В Лугано Украина собрала почти 2 млрд долларов финансовой поддержки**

Об этом сообщил премьер-министр Денис Шмигаль. Из этой суммы 600 млн долларов предусмотрено в виде финансовой поддержки, более 500 млн долларов – на развитие аграрного сектора в виде средств хранения продукции, улучшения логистики и обеспечения ликвидности для предприятий. Кроме того, Украина договорилась о предоставлении более 500 млн. долларов для подготовки к отопительному сезону и почти 250 млн. долларов для развития проектов цифровой трансформации.",No
71,"⚡️**США направили самолеты ВВС в сторону Ирана —** The Washington Post.

""Центральное командование США направило военные самолеты, базирующиеся в регионе Персидского залива, в сторону Ирана"", - передает газета. Это стало ответом на сообщения о том, что Тегеран готовит планы нападения на Саудовскую Аравию.",No
72,"**ГУР МОУ намекает, что Black Box уже собран и готов к отправке адресатам

**Похоже, Москве пора напрячься😏

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
73,"**❗️В центре Изюма россиян уже нет. Рашисты сбежали из города и бросили технику, — экс-депутат Киевского горсовета

**Ждём подтверждение от Генштаба.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
74,"Штаб территориальной обороны ДНР: ""На Артёмовском направлении освобождены населенные пункты Отрадовка, Весёлая Долина, Зайцево"".

@voenkorKotenok",No
75,"Жители Ростова-на-Дону сообщают о сильном хлопке в небе над городом. Украинские ресурсы разгоняют работу ПВО. Местные СМИ не подтверждают — по их данным, речь идёт о переходе самолёта на сверхзвук.

@voenkorKotenok",No
76,"**Приключение русни в Казахстане. **Как всегда ""ущемляют русских"", а на вопрос ""Чей Крым?"" они сломались.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
77,"Война вплотную подошла к нашим домам. Военные действия – одна из самых популярных тем в мировом кинематографе. Именно во время войны, в кризисных и сложных ситуациях, человеческие характеры проявляются более ярко, действия несут за собой необратимые последствия, а от каждого решения могут зависеть жизни не одной сотни людей. 

Что посмотреть про войну сегодня? А может, персмотреть? Канал «[Изнанка сериала](https://t.me/seriesmania)» подготовил для вас самые актуальные подборки.

📺[От «Белорусского вокзала» — до «Ржева», «Солдатика» и «Алеши»: что смотреть про войну](https://www.kp.ru/putevoditel/serialy/vihodnie/chto-smotret-pro-vojnu/)

📺[Современные сериалы про войну, которые могут войти в историю](https://www.kp.ru/putevoditel/serialy/interesno/sovremennye-serialy-pro-vojnu/)

📺[Русские сериалы про войну 1941-1945](https://www.kp.ru/putevoditel/serialy/interesno/russkie-serialy-o-voine/)

📺[Лучшие сериалы про Великую Отечественную войну для подростков](https://www.kp.ru/putevoditel/serialy/vihodnie/serialy-pro-velikuyu-otechestvennuyu-vojnu-dlya-podrostkov/)

📺[Женщины на войне: 10 лучших сериалов про Великую Отечественную войну, где главные герои женщины](https://www.kp.ru/putevoditel/serialy/vihodnie/15-serialov-pro-zhenshhin-na-vojne/)

⚡️Как [рассказывал нам](https://www.kp.ru/putevoditel/serialy/intervyu-so-zvezdami-serialov/akter-sergej-puskepalis/) ныне **покойный Сергей Пускепалис** __""Я не припомню, чтобы я когда-то отказывался от ролей в военных фильмах""__. 

Подписывайся на @seriesmania и смотри лучшее",No
78,"⚡️Воздушная тревога объявлена в Сумской, Харьковской, Черкасской, Днепропетровской и Полтавской областях Украины — власти

[Конфликт🔥Z Подписаться](https://t.me/konfliktworld)",No
79,"Тревога на большей части Украины

**UPD:** уже по всей",No
80,"⚡️🇷🇺**Путин внёс в Госдуму проекты конституционных законов о принятии в состав РФ ДНР, ЛНР, Херсонской и Запорожской областей**",No
81,"а вот и сайра, которую не обменяли, потому что встречающие в пуховике",No
83,"‼️‼️‼️**🚀****💥****🔥****Прилёты по Зеленодольской ТЭС, в Кривом Роге пропал свет!!!**",No
84,"**Украина нанесла удар по двум российским авиабазам модифицированными советскими беспилотниками Ту-141 ""Стриж"", **— [Politico](https://www.politico.com/news/2022/12/07/ukraine-used-home-modified-drones-to-strike-russian-bases-00072936)

Сообщается, что после отказов  западных союзников предоставить ракеты большой дальности и беспилотники, Украина без чьей-либо помощи модифицировала «Стрижи».

Однако, ранее Financial Times [сообщала](https://t.me/ukrinformator/30186), что беспилотники, которыми атаковали авиабазы РФ, это не ""Стрижи"", а совместная инициатива госструктур и частной компании.

Данные у запада очень разнятся🤷🏻‍♂️

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
85,"Трофейний ""Орлан-10""",No
86,Байрактар послал на хуй хохлов👋😄😄,No
87,"⚡️Местные источники сообщают о взрыве в районе города Бурштын Ивано-Франковской области.

В данном городе, кстати, расположена **Бурштынская ТЭС**.

@warjournaltg",No
88,"Наглядный пример, как работает ЦИПСО. Пост от нациста Медведько - убийцы Олеся Бузины. Разъясняет, как мимикрировать под россиян и разжигать панику в региональных пабликах. Так что еще раз - максимальная бдительность.

@voenkorKotenok",No
89,🔥**Не часто можна побачити артилерійські дуелі на відео**,No
90,В Одессе🇺🇦 деду стало хуёво за рулём,No
91,"**Сводка МО РФ от 6 августа 2022 г.** **Главное:

**— В районе н.п. Белогорка (Херсонская область) поражен пункт дислокации 46-й аэромобильной бригады ВСУ — уничтожено свыше 400 боевиков;
— В н.п. Выводово (Днепропетровская область) нанесен удар по опорному пункту ""Иностранного легиона"" —  ликвидировано более 80 наёмников;
— Оперативно-тактической и армейской авиацией, ракетными войсками и артиллерией поражены 139 объектов, в т.ч. клад горючего ВСУ с запасами дизельного топлива более 50-ти тыс. тонн;
— В районе н.п. Пятигорское (Харьковская область) уничтожен взвод РСЗО ""Ольха"" и ""HIMARS"";
— В рамках контрбатарейной борьбы подавлены восемь артиллерийских взводов и пять взводов РСЗО ""Град"";
— Над Кировоградской и Херсонской областями сбиты два украинских Су-25;
— Уничтожены восемь БПЛА противника;
— Над Херсонской и Харьковской областями перехвачены 26 снарядов РСЗО.

 @voenkorKotenok",No
92,"Первый из 7 эстонских бронеавтомобилей ""Mamba Mk2 EE"", [переданный](https://t.me/milinfolive/85000) на днях украинскому националистическому отряду ""Кракен"", был успешно уничтожен российским бойцами. 

Осталось еще 6 штук.",No
93,"ДОНЕЦК, ГОРОДСКИЕ ОЩУЩЕНИЯ. 

Сейчас дважды выстрелили с интервалом в 2 минуты по городу. Жесткие прилеты. Мы ответили минуты через две. И опять ответ по нам. 
Противник ведёт огонь с разных позиций, и мы тоже отвечаем из разных мест. Пожалуй, первый наглядный пример контрбатарейной борьбы. Я реально надеюсь, что попадаем. Сейчас опять бьем по противнику. Неужели отвечаем!? Это здорово.",No
94,"**Что говорили мне иностранные наблюдатели на референдуме в ЛНР:**

- Во Франции большие медиа сознательно игнорируют, что здесь происходит что-то важное. Поскольку это противоречит точке зрения Запада. И я надеюсь, что мое присутствие здесь изменит такое отношение хотя бы немного. По крайней мере, для тех людей, кто хочет искренне разобраться в том, что происходит, - признался мне француз Тьери Сен-Гермес.

- Во-первых, я хотел удостовериться в том, что люди здесь живут нормально после того ужасного периода войны. Сейчас Луганский регион - намного более мирный. Во-вторых, я хотел проверить ход референдума. Это исторический момент, он очень важен. В-третьих, я хочу понимать социальное положение людей, живущих здесь, ситуацию с их правами. Хочу понять, правду или нет говорит Запад. И пока мое впечатление, что все, что говорят на Западе, не соответствует действительности. Абсолютные фейки, - поделился итальянец, адвокат Марко Патта.

Конечно, от их слов Запад не развернется на 180 градусов и не изменит свою позицию по тому, что происходит в Донбассе. Однако присутствие здесь иностранных наблюдателей придает голосованию тот минимум легитимности, который необходим, чтобы со всей ответственностью заявить: мы все сделали честно. А как проголосуют люди, лично у меня никакого сомнения не было.

[Мой репортаж](https://www.kp.ru/daily/27450/4653790/) с последнего дня голосования

@sashakots",No
95,"🐝🇺🇦 **Ющенко будет кормить ВСУ ""бандеровским"" мёдом**

Ещё в бытность президентом он не скрывал, что его основная страсть это пчеловодство. Теперь, отработав номер с ""отравлением диоксином"" и выйдя на политическую пенсию, он может предаваться этой страсти, не отвлекаясь ни на что. 

Партия составит 25 тыс. стиков и в Сети уже шутят на тему количества отправляемого ""захысныкам"" мёда: почему всего 25 тысяч? Неужеди Ющенко знает что-то о реальных потерях ВСУ? 

t.me/rusvesnasu",No
96,"💥**Кадры боя от первого лица. 

**6 казачий полк 2 Армейского корпуса ЛНР🇷🇺 ведёт бои с ВСУ🇺🇦 в районе Соледара.",No
97,"Вчера сборная Сербии играла в Лиге Наций. Где недавно выиграли у Швеции. 

При этом на трибуны сербы приходят в том числе и с флагами России. А на пути к стадиону скандируют ""Сербы и русские - братья навек"".❤️

Сербия выиграла со счётом 0:1!",No
98,"🔥🚀✅Свиноублюдки особенно из Киева и Львова, должны привыкать к холодным и мокрым подвалам!",No
100,"⚡️Группировки войск ДНР и ЛНР продвинулись на 6-8 км в глубину, это стало возможным благодаря огневой поддержке артиллерии и армейской авиации — Минобороны РФ

@warjournaltg",No
101,"⚡️Совет Федерации [ратифицировал](https://t.me/navideovidno/51828) договоры о включении ДНР, ЛНР, Херсонской и Запорожской областей в состав РФ",No
102,"По Донецку противник наносил сегодня удары из шести точек. На данный момент все шесть огневых точек подавлены.

Противник пытается подтянуть  новую технику для нанесения ударов по жилым кварталам населенных пунктов Республики. Принимаются  исчерпывающие меры контрбатарейными подразделениями союзных сил для обеспечения безопасности населения.",No
103,"**Сын Евгения Пригожина состоит в ЧВК Вагнера и получил награду «Чёрный крест», об этом бизнесмен сообщил сам, его цитирует пресс-служба компании «Конкорд»**. 

«Мой сын в 18 лет пошёл в армию и честно отслужил свой срок. Через месяц после армии поехал на войну в Сирию. С тех пор он постоянно находился и находится в горячих точках в составе ЧВК Вагнера», заявил Пригожин.",No
105,Мораль шукайте самі👌,No
106,"Я ОБЪЕЗДИЛ ПОЛМИРА И НИГДЕ НЕ ВИДЕЛ ОБОЖАНИЯ США, КОРОМЕ КАК В САМИХ США. 

Признаюсь, в начале 90-х у меня было некое чувство вины, привитое западной пропагандой, в том, что я «внук Ленина», дитя «кровавого» СССР. А потом стал подмечать некие вещи. 

На таджико-афганской границе я смотрел на ту сторону, которая была под Британией. Я имею в виду Афганистан. Там пустыня и перекати-поле. Со стороны СССР (Таджикистан): сады, дороги, школы, больницы, полная электрификациях. 

Потом, в самом Афганистане я увидел, как с объятиями встречали нас, русских, и с какой брезгливостью отзывались о западных «партнерах» Кабула. Видел, как американцы трусливо снимали со своих посольских джипов звездно-полосатые флаги, опасаясь нападения, и для безопасности вешали наш триколор. 

Потом я заходил в немецкие гаштеты и люди, узнав, что мы русские, все как один включали в телефонах гимн СССР. А немецкие политики, в приватных беседах, сетовали, что мы вывели свои войска, «оккупанты из США» остались. 

Я мог бы продолжать и продолжать. Но скажу одно: страны планеты Земля устали от надменных, жующих свою жвачку, «вовсёмправых» янки. Мир хочет свободы и эту свободу сегодня отстаивает Россия. И сторонников у нас будет больше и больше.  

https://t.me/tass_agency/163026",No
107,"⚡️**Масштабная воздушная тревога почти по всей Украине.** Есть вероятность запуска ракет.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
108,"👍 Х**ОРВАТИЯ — БРОНЗОВЫЙ ПРИЗЁР ЧМ 2022 

**Марокко проигрывает 1:2 и остаются без медалей",No
109,"**Старобельск, люди вийшли на мітинги проти Мордору**💪

Ну і автоматні черги в повітря, бо крім залякування і смертей в наші землі вони нічого принести не можуть😡",No
